Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,CURRENCY,Stock ID,Listed Country,% Ownership,Units Held,Adress,Value (AUD),Weighting (%)
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,RMD,AU,,"594,243",-,21850321.0,0.21
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NST,AU,,"1,359,554",-,20991522.0,0.2
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,BXB,AU,,"1,090,782",-,20986639.0,0.2
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ANN,AU,,"618,885",-,20930702.0,0.2
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MA,US,,"24,315",-,20678891.0,0.2
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CPU,AU,,"603,535",-,20490032.0,0.2
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SQ2,AU,,"144,072",-,20311340.0,0.19
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NOW,US,,"11,615",-,19886785.0,0.19
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,LLY,US,,"15,340",-,19126512.0,0.18
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,QAN,AU,,"1,922,473",-,17244581.0,0.17
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,FPH,AU,,"490,918",-,17157605.0,0.16
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,COST,US,,"11,042",-,16341812.0,0.16
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TNE,AU,,"521,701",-,16334494.0,0.16
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,BRKB,US,,"22,040",-,16135922.0,0.15
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,UNH,US,,"19,273",-,15747045.0,0.15
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,PG,US,,"57,867",-,15668807.0,0.15
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,WOR,AU,,"1,103,172",-,15113446.0,0.14
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,JNJ,US,,"62,834",-,14676775.0,0.14
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SGM,AU,,"1,211,960",-,14398085.0,0.14
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,IAG,AU,,"1,673,489",-,14157712.0,0.14
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NFLX,US,,"9,674",-,13927280.0,0.13
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,S32,AU,,"4,090,831",-,13908823.0,0.13
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SHL,AU,,"508,858",-,13744246.0,0.13
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,WMT,US,,"93,882",-,13699717.0,0.13
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ALX,AU,,"2,859,456",-,13582415.0,0.13
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,BAC,US,,"187,547",-,13312921.0,0.13
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ASML,NA,,"11,719",-,13302488.0,0.13
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SEK,AU,,"570,201",-,12869427.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,REA,AU,,"54,845",-,12795976.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ORCL,US,,"47,142",-,12688071.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AAI,AU,,"213,276",-,12651498.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CRM,US,,"23,427",-,12650457.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,PME,AU,,"50,237",-,12565272.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ORI,AU,,"756,848",-,12548550.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,QCOM,US,,"49,956",-,12394545.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MRK,US,,"76,736",-,12329439.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,HD,US,,"19,510",-,12257882.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NEM,AU,,"202,715",-,12069669.0,0.12
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,QUB,AU,,"3,003,832",-,11925210.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SPOT,US,,"16,373",-,11831521.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CAR,AU,,"323,135",-,11642564.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SU,FP,,"28,829",-,11615445.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NOVOB,DC,,"81,336",-,11386219.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TWE,AU,,"999,801",-,11327741.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,BKNG,US,,"1,407",-,11290175.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ABBV,US,,"38,984",-,11188682.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CWY,AU,,"4,146,390",-,10987935.0,0.11
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AMP,AU,,"6,852,249",-,10860814.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ADBE,US,,"14,918",-,10713824.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,HUB,AU,,"153,753",-,10701215.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,BRG,AU,,"299,368",-,10591644.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AIA,AU,,"1,347,432",-,10456068.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,700,HK,,"119,065",-,10323323.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ORG,AU,,"946,237",-,10313991.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,NOVN,SW,,"65,142",-,10297692.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,HDFCB,IN,,"306,469",-,10249882.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SAP,GR,,"25,358",-,10021602.0,0.1
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,UBER,US,,"100,029",-,9745262.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SPGI,US,,"12,006",-,9657394.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,FBU,AU,,"3,779,597",-,9637971.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ORA,AU,,"3,853,858",-,9480491.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ROG,SW,,"20,348",-,9265292.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ADP,US,,"19,589",-,9261449.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AMC,AU,,"608,059",-,9102650.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TSCO,LN,,"1,221,560",-,9100470.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,RMS,FP,,"2,334",-,9065034.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,DASH,US,,"33,234",-,9004467.0,0.09
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,JBH,AU,,"95,524",-,8853175.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SHEL,LN,,"176,734",-,8851543.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,TTE,FP,,"97,826",-,8731819.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AUB,AU,,"274,681",-,8570050.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,SAN,FP,,"54,531",-,8549146.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CMM,AU,,"1,360,400",-,8543308.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MS,US,,"41,372",-,8400613.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,A2M,AU,,"1,450,347",-,8383000.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AXP,US,,"17,438",-,8359055.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MC,FP,,"7,712",-,8196625.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,GOR,AU,,"3,953,094",-,8103843.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,ASX,AU,,"124,390",-,8095325.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,FI,US,,"23,648",-,7845621.0,0.08
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,MDT,US,,"60,636",-,7823118.0,0.07
