Portfolio Holdings Information for Investment Option: Growth Accumulation Option - Assets,,,,,,,,,,,,,
Section,Table Order,Security Name,Portfolio Name,Manager Name,Issuer,Institution,Security Identifier,Ownership%,Address,Local Currency,Units Held,Market Value,Weight
Listed equities,4,AMBUJA CEMENTS,,,,,B09QQ11,,,,256928.49,2597020.85,0.00%
Listed equities,4,AMCOR PLC CDI,,,,,6066608,,,,3287234.09,49209894.3,0.06%
Listed equities,4,AMEREN CORPORATION,,,,,2050832,,,,6693.38,963656.4,0.00%
Listed equities,4,AMERICA MOVIL B,,,,,BMVRB77,,,,11561252.94,13425737.66,0.02%
Listed equities,4,AMERICAN ELECTRIC POWER,,,,,2026242,,,,96342.7,14351429.45,0.02%
Listed equities,4,AMERICAN EXPRESS,,,,,2026082,,,,255286.67,122371849.5,0.16%
Listed equities,4,AMERICAN INTL GROUP,,,,,2027342,,,,673165.13,79151129.43,0.10%
Listed equities,4,AMERICAN PUBLIC EDUCATION INC COMMON STOCK USD 0.01,,,,,B292GM4,,,,28373.23,988469.12,0.00%
Listed equities,4,AMERICANA RESTAURANTS,,,,,BPCMH29,,,,1446332.81,1405521.8,0.00%
Listed equities,4,AMERIPRISE FINANCIAL,,,,,B0J7D57,,,,23242.81,19987351.77,0.03%
Listed equities,4,AMGEN,,,,,2023607,,,,30935.3,13022653.37,0.02%
Listed equities,4,AMOREG,,,,,6665931,,,,41098.51,937867.24,0.00%
Listed equities,4,AMOREPACIFIC CORP (NEW),,,,,B15SK50,,,,1114.8,128176.46,0.00%
Listed equities,4,AMOTIV LTD COMMON STOCK AUD 0,,,,,BQH8HH4,,,,5249686.47,55646676.62,0.07%
Listed equities,4,AMP LTD,,,,,6709958,,,,48930.31,77554.54,0.00%
Listed equities,4,AMPHENOL CORP,,,,,2145084,,,,662257.86,74285405.21,0.10%
Listed equities,4,AMPLITUDE ENERGY LTD,,,,,BLGTZK2,,,,77061281.59,15797562.73,0.02%
Listed equities,4,AMPOL,,,,,BM91201,,,,5730033.6,161529647.3,0.21%
Listed equities,4,ANA HOLDINGS,,,,,6014908,,,,7007.49,206359.59,0.00%
Listed equities,4,ANADOLU EFES BIRACILIK,,,,,B03MNV4,,,,114313.36,1000410.19,0.00%
Listed equities,4,ANGLO AMERICAN PLATINUM,,,,,6761000,,,,13825.87,673284.8,0.00%
Listed equities,4,ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,,,,,B1XZS82,,,,328740.94,15719845.64,0.02%
Listed equities,4,ANGLOGOLD ASHANTI PLC COMMON STOCK,,,,,BRXH266,,,,34404.91,1282508.89,0.00%
Listed equities,4,ANHEUSER-BUSCH INBEV,,,,,BYYHL23,,,,375666.96,30314773.68,0.04%
Listed equities,4,ANHUI CONCH CEMENT H,,,,,6080396,,,,85320.06,352667.21,0.00%
Listed equities,4,ANSELL LTD,,,,,6286611,,,,3294385.12,111416104.9,0.15%
Listed equities,4,ANTA SPORTS PRODUCTS,,,,,B1YVKN8,,,,426922.27,6910428.4,0.01%
Listed equities,4,ANZ GROUP HOLDINGS,,,,,6065586,,,,15899288.44,453765692,0.60%
Listed equities,4,APA CORPORATION,,,,,BNNF1C1,,,,202630.53,7556713,0.01%
Listed equities,4,APPLE,,,,,2046251,,,,1652817.26,668494706.2,0.88%
Listed equities,4,APPLIED MATERIALS,,,,,2046552,,,,224766.31,59038593.23,0.08%
Listed equities,4,APPLOVIN CORP A,,,,,BMV3LG4,,,,159899.82,83631362.74,0.11%
Listed equities,4,ARABIAN INTERNET COMMU,,,,,BMVH0Q9,,,,844.05,97959.68,0.00%
Listed equities,4,ARB CORP LTD,,,,,BWV03W5,,,,243694.87,9896448.82,0.01%
Listed equities,4,ARC RESOURCES,,,,,B6463M8,,,,7164.96,209768.03,0.00%
Listed equities,4,ARCA CONTINENTAL,,,,,2823885,,,,553112.41,7421614.32,0.01%
Listed equities,4,ARCELORMITTAL SA COMMON STOCK EUR 0,,,,,BZ11XT6,,,,229.12,8572.06,0.00%
Listed equities,4,ARCHER-DANIELS-MIDLAND,,,,,2047317,,,,261921.74,21371696.81,0.03%
Listed equities,4,ARDMORE SHIPPING CORP COMMON STOCK USD 0.01,,,,,BCGCR57,,,,91465.81,1794895.53,0.00%
Listed equities,4,ARISTA NETWORKS INC COMMON STOCK USD 0.0001,,,,,BL9XPM3,,,,24373.46,4351123.32,0.01%
Listed equities,4,ARISTOCRAT LEISURE,,,,,6253983,,,,5258444.7,359467279.6,0.47%
Listed equities,4,ASAHI KASEI CORP,,,,,6054603,,,,71807.05,806214.34,0.00%
Listed equities,4,ASE TECHNOLOGY HOLDING,,,,,BFXZDY1,,,,84598.27,675168.16,0.00%
Listed equities,4,ASIA CEMENT CORP,,,,,6056331,,,,106247.62,211463.79,0.00%
Listed equities,4,ASIAN PAINTS,,,,,BCRWL65,,,,87598.75,3770077.7,0.01%
Listed equities,4,ASICS CORP COMMON STOCK JPY,,,,,6057378,,,,9369.56,299461.9,0.00%
Listed equities,4,ASM INTERNATIONAL NV COMMON STOCK EUR 0.04,,,,,5165294,,,,1014.12,947760.35,0.00%
Listed equities,4,ASML HLDG,,,,,B929F46,,,,111060.95,126064623.8,0.17%
Listed equities,4,ASML HOLDING NV NY REG SHRS USD 0.09,,,,,B908F01,,,,22739.62,25454861.37,0.03%
Listed equities,4,ASPEED TECHNOLOGY INC COMMON STOCK TWD 10,,,,,B80VKP3,,,,26078.16,4271731.88,0.01%
Listed equities,4,ASPEN PHARMACARE HLDGS,,,,,B09C0Z1,,,,10594.98,149493.13,0.00%
Listed equities,4,ASR NEDERLAND,,,,,BD9PNF2,,,,132341.5,10132715.65,0.01%
Listed equities,4,ASSICURAZIONI GENERALI,,,,,4056719,,,,22756.22,1037861.28,0.00%
Listed equities,4,ASSOCIATED BRITISH FOODS,,,,,673123,,,,1211476.31,50064548.69,0.07%
Listed equities,4,ASSURED GUARANTY LTD COMMON STOCK USD 0.01,,,,,B00V7H8,,,,55978.79,8138013.81,0.01%
Listed equities,4,ASTI CORP COMMON STOCK JPY,,,,,6050894,,,,13463.82,266216.77,0.00%
Listed equities,4,ASTRA INTERNATIONAL,,,,,B800MQ5,,,,837504.95,411809.6,0.00%
Listed equities,4,ASTRAZENECA PLC COMMON STOCK GBP 0.25,,,,,989529,,,,694.45,147045.44,0.00%
Listed equities,4,ASUSTEK COMPUTER,,,,,6051046,,,,352828.76,10707303.85,0.01%
Listed equities,4,AT&T,,,,,2831811,,,,2399909.8,88259623.86,0.12%
Listed equities,4,ATACADAO,,,,,BF7LBH4,,,,1256230.05,1783346.11,0.00%
Listed equities,4,ATLASSIAN (US),,,,,BQ1PC76,,,,194247.53,76356234.7,0.10%
Listed equities,4,AUB GROUP LIMITED,,,,,B0MBNC3,,,,1065302.78,33237446.84,0.04%
Listed equities,4,AUCKLAND INTERNATIONAL AIRPORT LTD COMMON STOCK NZD 0,,,,,BLRZSS8,,,,7368568.34,57180090.34,0.08%
Listed equities,4,AUO CORP,,,,,6288190,,,,238252.25,171953.12,0.00%
Listed equities,4,AURELIA METALS LIMITED,,,,,BN790Y4,,,,5348746.57,909286.92,0.00%
Listed equities,4,AURIZON HOLDINGS,,,,,B87CVM3,,,,8874792.88,28843076.87,0.04%
Listed equities,4,AUROBINDO PHARMA,,,,,6702634,,,,335299.79,8441358.23,0.01%
Listed equities,4,AUSTAL LTD,,,,,6137162,,,,4893555.57,15170022.27,0.02%
Listed equities,4,AUSTRALIAN CLINICAL LABS LTD,,,,,BMWLLJ0,,,,3402830.29,11705736.18,0.02%
Listed equities,4,AUSTRALIAN ETHICAL INVESTMENT LTD,,,,,6568212,,,,454713.04,2446356.16,0.00%
Listed equities,4,AUSTRALIAN FINANCE GROUP LTD,,,,,BY4K6K5,,,,1571201.54,2372514.33,0.00%
Listed equities,4,AUTO TRADER GROUP,,,,,BVYVFW2,,,,51866.42,831967.76,0.00%
