AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,BANK OF AMERICA NATIONAL ASSOCIATION,AUD,n/a,n/a,n/a,n/a,"-$52,479,970",-0.22%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,WESTPAC BANKING CORPORATION,AUD,n/a,n/a,n/a,n/a,"-$52,952,097",-0.22%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,UBS AG,AUD,n/a,n/a,n/a,n/a,"-$67,219,931",-0.28%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,BNP PARIBAS,AUD,n/a,n/a,n/a,n/a,"-$91,766,400",-0.38%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",AUD,n/a,n/a,n/a,n/a,"-$92,904,684",-0.38%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,MORGAN STANLEY,AUD,n/a,n/a,n/a,n/a,"-$100,224,299",-0.41%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Cash,n/a,n/a,n/a,n/a,n/a,n/a,,,,,"$797,544,917",3.30%,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,WESTPAC BANKING CORPORATION,n/a,n/a,n/a,n/a,n/a,"$209,505,893",0.87%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,COMMONWEALTH BANK OF AUSTRALIA,n/a,n/a,n/a,n/a,n/a,"$143,153,841",0.59%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,BANK OF CHINA LTD.,n/a,n/a,n/a,n/a,n/a,"$127,151,006",0.53%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,NATIONAL AUSTRALIA BANK LIMITED,n/a,n/a,n/a,n/a,n/a,"$85,582,519",0.35%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,n/a,n/a,n/a,n/a,n/a,"$83,799,505",0.35%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,n/a,n/a,n/a,n/a,n/a,"$77,735,533",0.32%,,,,,
31 December 2024,Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,BANK OF QUEENSLAND LTD.,n/a,n/a,n/a,n/a,n/a,"$46,022,886",0.19%,,,,,
