Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARBA,Balanced,Cash,,,MUFG Bank Ltd/London,Name of Institution,United Kingdom Pound,,,,,,,6706250.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,MUFG Bank Ltd/London,Name of Institution,United States Dollar,,,,,,,16121087.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,National Australia Bank Ltd,Name of Institution,Australia Dollar,,,,,,,1041141285.0,0.44,,,,,,,nan,nan
ARBA,Balanced,Cash,,,National Australia Bank Ltd,Name of Institution,United Kingdom Pound,,,,,,,6706250.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,National Australia Bank Ltd,Name of Institution,United States Dollar,,,,,,,108346978.0,0.05,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Rabobank Australia Ltd,Name of Institution,Australia Dollar,,,,,,,72082652.0,0.03,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Royal Bank of Canada,Name of Institution,Australia Dollar,,,,,,,58407452.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Royal Bank of Canada,Name of Institution,United Kingdom Pound,,,,,,,8047500.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Royal Bank of Canada,Name of Institution,United States Dollar,,,,,,,119181675.0,0.05,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Royal Bank of Canada/London,Name of Institution,Canada Dollar,,,,,,,86632252.0,0.04,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Royal Bank of Canada/Sydney,Name of Institution,Australia Dollar,,,,,,,454458492.0,0.19,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Societe Generale SA,Name of Institution,Australia Dollar,,,,,,,43761237.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Standard Chartered Bank,Name of Institution,Australia Dollar,,,,,,,-6714538.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,State Street Bank and Trust Co,Name of Institution,Australia Dollar,,,,,,,-39686168.0,-0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Sumitomo Mitsui Banking Corp,Name of Institution,United States Dollar,,,,,,,16195322.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Sumitomo Mitsui Banking Corp/Sydney,Name of Institution,Australia Dollar,,,,,,,17537666.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,UBS AG,Name of Institution,Australia Dollar,,,,,,,-1632517.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Westpac Banking Corp,Name of Institution,Australia Dollar,,,,,,,244823679.0,0.1,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Total,Total,,,,,,,,4318051427.0,1.81,,,,,,,nan,nan
ARBA,Balanced,Derivatives,By Asset Class,,Equity,Asset Class,,,,,,,,,,,63.45,-0.1,,,,nan,nan
ARBA,Balanced,Derivatives,By Asset Class,,Fixed Income,Asset Class,,,,,,,,,,,15.61,-1.05,,,,nan,nan
ARBA,Balanced,Derivatives,By Asset Class,,Infrastructure,Asset Class,,,,,,,,,,,15.16,,,,,nan,nan
ARBA,Balanced,Derivatives,By Asset Class,,Property,Asset Class,,,,,,,,,,,4.2,,,,,nan,nan
ARBA,Balanced,Derivatives,By Asset Class,,Cash,Asset Class,,,,,,,,,,,1.45,-0.36,,,,nan,nan
ARBA,Balanced,Derivatives,By Asset Class,,Alternatives,Asset Class,,,,,,,,,,,0.13,,,,,nan,nan
ARBA,Balanced,Derivatives,By Asset Class,,Total,Total,,,,,,,,,,,100.0,-1.52,,,,nan,nan
ARBA,Balanced,Derivatives,By Currency,,AUD,Currency Exposure,,,,,,,,,,79.55,,32.4,,,,nan,nan
ARBA,Balanced,Derivatives,By Currency,,USD,Currency Exposure,,,,,,,,,,14.5,,-23.93,,,,nan,nan
ARBA,Balanced,Derivatives,By Currency,,Currencies of other developed markets,Currency Exposure,,,,,,,,,,4.27,,-8.75,,,,nan,nan
ARBA,Balanced,Derivatives,By Currency,,Currencies of emerging markets,Currency Exposure,,,,,,,,,,1.68,,-1.23,,,,nan,nan
ARBA,Balanced,Derivatives,By Currency,,Total,Total,,,,,,,,,,100.0,,-1.52,,,,nan,nan
ARBA,Balanced,Derivatives,By Kind,,Futures,Kind of Derivatives,,,,,,,,55771023.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Derivatives,By Kind,,Forwards,Kind of Derivatives,,,,,,,,-2595691998.0,-1.09,,,,,,,nan,nan
ARBA,Balanced,Derivatives,By Kind,,Options,Kind of Derivatives,,,,,,,,208033267.0,0.09,,,,,,,nan,nan
ARBA,Balanced,Derivatives,By Kind,,Swaps,Kind of Derivatives,,,,,,,,-1287004350.0,-0.54,,,,,,,nan,nan
ARBA,Balanced,Derivatives,By Kind,,,Total,,,,,,,,-3618892058.0,-1.52,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,ACM Auto Trust 2024-1,Name of Issuer/Counterparty,,Asset Backed,,,,,,10410855.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Asimi Funding 2024-1 PLC,Name of Issuer/Counterparty,,Asset Backed,,,,,,3030275.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Bridge 2024-SFR1 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,2955855.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Firstmac Asset Funding Trust No. 1 Series Auto No. 2,Name of Issuer/Counterparty,,Asset Backed,,,,,,2123203.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Flexicommercial Abs Trust 2023-1,Name of Issuer/Counterparty,,Asset Backed,,,,,,3165943.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,FP Turbo Series 2023-1 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,8471784.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Handy ABS 2024-1 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,2072715.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Horizon Aircraft Finance IV Ltd,Name of Issuer/Counterparty,,Asset Backed,,,,,,8249319.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Judo Capital Markets Trust 2023-1,Name of Issuer/Counterparty,,Asset Backed,,,,,,16773637.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Metro Finance 2023-2 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,12609689.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Navigator 2024-1 Aviation Ltd,Name of Issuer/Counterparty,,Asset Backed,,,,,,5474768.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Pagaya AI Technology in Housing Trust 2023-1,Name of Issuer/Counterparty,,Asset Backed,,,,,,512600.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Panorama Auto Trust 2023-3,Name of Issuer/Counterparty,,Asset Backed,,,,,,8525986.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Panorama Auto Trust 2024-1,Name of Issuer/Counterparty,,Asset Backed,,,,,,7940958.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Perpetual Corporate Trust Ltd,Name of Issuer/Counterparty,,Asset Backed,,,,,,5729857.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Prodigy Finance CM2021-1 DAC,Name of Issuer/Counterparty,,Asset Backed,,,,,,654434.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,ReadyCap Lending Small Business Loan Trust 2023-3,Name of Issuer/Counterparty,,Asset Backed,,,,,,4413759.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,SLM Student Loan Trust 2004-10,Name of Issuer/Counterparty,,Asset Backed,,,,,,10737377.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Small Business Origination Loan Trust 2024-1 DAC,Name of Issuer/Counterparty,,Asset Backed,,,,,,3908668.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,STAR 2022-SFR3 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,4580168.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,STAR 2024-SFR4 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,12123067.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Taurus 2023-1 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,9092344.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Taurus 2024-1PP Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,12517421.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Towd Point Mortgage Trust 2019-MH1,Name of Issuer/Counterparty,,Asset Backed,,,,,,3605573.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Trustee For Angle Asset Finance - Radian Trust 2023-3/The,Name of Issuer/Counterparty,,Asset Backed,,,,,,4208678.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,United Airlines 2020-1 Class A Pass Through Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,3229997.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Vantage Data Centers Jersey Borrower Spv Ltd,Name of Issuer/Counterparty,,Asset Backed,,,,,,7882534.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,VINE 2023-SFR1 Trust,Name of Issuer/Counterparty,,Asset Backed,,,,,,12718615.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Wisr Freedom Trust Series 2023-1,Name of Issuer/Counterparty,,Asset Backed,,,,,,19498971.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Zip Master Trust Series 2024-2,Name of Issuer/Counterparty,,Asset Backed,,,,,,5341559.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,ABB Finance BV,Name of Issuer/Counterparty,,Corporate,,,,,,822770.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Abbott Ireland Financing DAC,Name of Issuer/Counterparty,,Corporate,,,,,,1668416.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Abbott Laboratories,Name of Issuer/Counterparty,,Corporate,,,,,,3224297.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,AbbVie Inc,Name of Issuer/Counterparty,,Corporate,,,,,,12050592.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Abertis Infraestructuras SA,Name of Issuer/Counterparty,,Corporate,,,,,,1579696.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,ABN AMRO Bank NV,Name of Issuer/Counterparty,,Corporate,,,,,,5053264.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Accor Sa,Name of Issuer/Counterparty,,Corporate,,,,,,692917.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Achmea BV,Name of Issuer/Counterparty,,Corporate,,,,,,932196.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Adecco International Financial Services BV,Name of Issuer/Counterparty,,Corporate,,,,,,590249.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Adidas Ag,Name of Issuer/Counterparty,,Corporate,,,,,,721799.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,AEP Texas Inc,Name of Issuer/Counterparty,,Corporate,,,,,,2280041.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,AEP Transmission Co LLC,Name of Issuer/Counterparty,,Corporate,,,,,,2221954.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,AerCap Ireland Capital DAC / AerCap Global Aviation Trust,Name of Issuer/Counterparty,,Corporate,,,,,,8618479.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Aib Group Plc,Name of Issuer/Counterparty,,Corporate,,,,,,712275.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Air Lease Corp,Name of Issuer/Counterparty,,Corporate,,,,,,4899061.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Air Liquide Finance SA,Name of Issuer/Counterparty,,Corporate,,,,,,980085.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Air Products And Chemicals Inc,Name of Issuer/Counterparty,,Corporate,,,,,,1791948.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Airbus Se,Name of Issuer/Counterparty,,Corporate,,,,,,1593577.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Akzo Nobel NV,Name of Issuer/Counterparty,,Corporate,,,,,,664458.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Alectra Inc,Name of Issuer/Counterparty,,Corporate,,,,,,162233.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Alexandria Real Estate Equities Inc,Name of Issuer/Counterparty,,Corporate,,,,,,1993406.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Alimentation Couche-Tard Inc,Name of Issuer/Counterparty,,Corporate,,,,,,986133.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Allianz Finance II BV,Name of Issuer/Counterparty,,Corporate,,,,,,1129898.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Allianz Se,Name of Issuer/Counterparty,,Corporate,,,,,,625577.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Ally Financial Inc,Name of Issuer/Counterparty,,Corporate,,,,,,1078298.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Alstom SA,Name of Issuer/Counterparty,,Corporate,,,,,,1108415.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Fixed Income,All Assets,,Altagas Ltd,Name of Issuer/Counterparty,,Corporate,,,,,,906888.0,0.0,,,,,,,nan,nan
