Name,Stock ID,Yahoo ticker,LC
Barry Callebaut AG,CH0009002962,BARN.SW,Switzerland
Baxter International Inc,US0718131099,BAX,United States
Bayer AG,DE000BAY0017,BAYN.DE,Germany
Bayerische Motoren Werke AG,DE0005190003,BMW.DE,Germany
Bayerische Motoren Werke AG,DE0005190037,BMW3.DE,Germany
Beach Energy Ltd,AU000000BPT9,BPT.AX,Australia
Bechtle AG,DE0005158703,BC8.DE,Germany
Becton Dickinson & Co,US0758871091,BDX,United States
Bega Cheese Ltd,AU000000BGA8,BGA.AX,Australia
BeiGene Ltd,US07725L1026,ONC,United States
Beiersdorf AG,DE0005200000,BEI.DE,Germany
Beijer Ref AB,SE0015949748,BEIJ-B.ST,Sweden
Bellevue Gold Ltd,AU0000019374,BGL.AX,Australia
Bendigo & Adelaide Bank Ltd,AU000000BEN6,BEN.AX,Australia
Bentley Systems Inc,US08265T2087,BSY,United States
Berkeley Group Holdings PLC,GB00BP0RGD03,BKG.L,United Kingdom
Berkshire Hathaway Inc,US0846707026,BRK-B,United States
Best Buy Co Inc,US0865161014,BBY,United States
Betmakers Technology Group Ltd,AU0000050585,BET.AX,Australia
Bharti Airtel Ltd,INE397D01024,BHARTIARTL.BO,India
Bilibili Inc,US0900401060,BILI,United States
Bio-Rad Laboratories Inc,US0905722072,BIO,United States
Bio-Techne Corp,US09073M1045,TECH,United States
BioMarin Pharmaceutical Inc,US09061G1013,BMRN,United States
BioMerieux,FR0013280286,BIM.PA,France
BioNTech SE,US09075V1026,US09075V1026.SG,Germany
Biogen Inc,US09062X1037,BIIB,United States
Blackrock Inc,US09290D1019,BLK,United States
Blackstone Inc,US09260D1072,BX,United States
Block Inc,US8522341036,XYZ,United States
Block Inc,AU0000187353,,
Blue Bird Corp,US0953061068,BLBD,United States
BlueScope Steel Ltd,AU000000BSL0,BSL.AX,Australia
Boeing Co/The,US0970231058,BA,United States
Boliden AB,SE0020050417,BOL.ST,Sweden
Bollore SE,SE0020050417,BOL.ST,Sweden
Booking Holdings Inc,US09857L1089,BKNG,United States
Booz Allen Hamilton Holding Corp,US0995021062,BAH,United States
Boss Energy Ltd,AU000000BOE4,BOE.AX,Australia
Boston Scientific Corp,US1011371077,BSX,United States
Bouygues SA,FR0000120503,EN.PA,France
BrainChip Holdings Ltd,AU000000BRN8,BRN.AX,Australia
Brambles Ltd,AU000000BXB1,BXB.AX,Australia
Brenntag SE,DE000A1DAHH0,BNR.DE,Germany
Breville Group Ltd,AU000000BRG2,BRG.AX,Australia
Bridgestone Corp,JP3830800003,5108.T,Japan
Bristol-Myers Squibb Co,US1101221083,BMY,United States
Broadcom Inc,US11135F1012,AVGO,United States
Broadridge Financial Solutions Inc,US11133T1034,BR,United States
Brookfield Asset Management Ltd,CA1130041058,BAM.TO,Canada
Brookfield Corp,CA11271J1075,BN.TO,Canada
Brookfield Renewable Corp,CA11285B1085,BEPC,United States
Brother Industries Ltd,JP3830000000,6448.T,Japan
Brown & Brown Inc,US1152361010,BRO,United States
Brown-Forman Corp,US1156372096,BF-B,United States
Builders FirstSource Inc,US12008R1077,BLDR,United States
Bunge Global SA,CH1300646267,BG,United States
Bunzl PLC,GB00B0744B38,BNZL.L,United Kingdom
Bureau Veritas SA,FR0006174348,BVI.PA,France
Burlington Stores Inc,US1220171060,BURL,United States
CAE Inc,CA1247651088,CAE.TO,Canada
CAR Group Ltd,AU000000CAR3,CAR.AX,Australia
CBRE Group Inc,US12504L1098,CBRE,United States
CCL Industries Inc,CA1249003098,CCL-B.TO,Canada
CDW Corp/DE,US12514G1085,CDW,United States
CF Industries Holdings Inc,US1252691001,CF,United States
CGI Inc,CA12532H1047,GIB-A.TO,Canada
CH Robinson Worldwide Inc,US12541W2098,CHRW,United States
CK Asset Holdings Ltd,KYG2177B1014,1113.HK,Hong Kong
CK Hutchison Holdings Ltd,KYG217651051,0001.HK,Hong Kong
CK Infrastructure Holdings Ltd,BMG2178K1009,1038.HK,Hong Kong
CLP Holdings Ltd,HK0002007356,0002.HK,Hong Kong
CME Group Inc,US12572Q1058,CME,United States
CMS Energy Corp,US1258961002,CMS,United States
CNH Industrial NV,NL0010545661,CNH,United States
CONSOL Energy Inc,US20854L1089,,
CRH PLC,IE0001827041,CRH,United States
CSL Ltd,AU000000CSL8,CSL.AX,Australia
CSX Corp,US1264081035,CSX,United States
CTS Eventim AG & Co KGaA,DE0005470306,EVD.DE,Germany
CVS Health Corp,US1266501006,CVS,United States
Cadence Design Systems Inc,US1273871087,CDNS,United States
CaixaBank SA,ES0140609019,CABK.MC,Spain
Calbee Inc,JP3220580009,JP3220580009.SG,Germany
Cameco Corp,CA13321L1085,CCO.TO,Canada
Canadian Imperial Bank of Commerce,CA1360691010,CM.TO,Canada
Canadian National Railway Co,CA1363751027,CNR.TO,Canada
Canadian Natural Resources Ltd,CA1363851017,CNQ.TO,Canada
Canadian Pacific Kansas City Ltd,CA13646K1084,CP.TO,Canada
Canadian Tire Corp Ltd,CA1366812024,CTC-A.TO,Canada
Canadian Utilities Ltd,CA1367178326,CU.TO,Canada
Canon Inc,JP3242800005,7751.T,Japan
Capcom Co Ltd,JP3218900003,9697.T,Japan
Capgemini SE,FR0000125338,CAP.PA,France
CapitaLand Investment Ltd/Singapore,SGXE62145532,9CI.SI,Singapore
Capital One Financial Corp,US14040H1059,COF,United States
Capral Ltd,AU000000CAA9,CAA.AX,Australia
Capricorn Metals Ltd,AU000000CMM9,CMM.AX,Australia
Capstone Copper Corp,AU0000318552,CSC.AX,Australia
CarMax Inc,US1431301027,KMX,United States
Cardinal Health Inc,US14149Y1082,CAH,United States
Carl Zeiss Meditec AG,DE0005313704,AFX.DE,Germany
Carlisle Cos Inc,AU000000CSL8,CSL.AX,Australia
Carlsberg AS,DK0010181759,CARL-B.CO,Denmark
Carlyle Group Inc/The,US14316J1088,CG,United States
Carnival Corp,PA1436583006,CCL,United States
Carrefour SA,FR0000120172,CA.PA,France
Carrier Global Corp,US14448C1045,CARR,United States
Carvana Co,US1468691027,CVNA,United States
Caterpillar Inc,US1491231015,CAT,United States
Cboe Global Markets Inc,US12503M1080,CBOE,United States
Celanese Corp,US1508701034,CE,United States
Celestica Inc,CA15101Q2071,CLS.TO,Canada
Cellnex Telecom SA,ES0105066007,CLNX.MC,Spain
Celsius Holdings Inc,US15118V2079,CELH,United States
Cencora Inc,US03073E1055,COR,United States
Cenovus Energy Inc,CA15135U1093,CVE.TO,Canada
Centene Corp,US15135B1017,CNC,United States
CenterPoint Energy Inc,US15189T1079,CNP,United States
Central Japan Railway Co,JP3566800003,9022.T,Japan
Centrica PLC,GB00B033F229,CNA.L,United Kingdom
Cettire Ltd,AU0000122210,CTT.AX,Australia
Chalice Mining Ltd,AU000000CHN7,CHN.AX,Australia
Challenger Ltd,AU000000CGF5,CGF.AX,Australia
Champion Iron Ltd,AU000000CIA2,CIA.AX,Australia
Charles River Laboratories International,US1598641074,CRL,United States
Charles Schwab Corp/The,US8085131055,SCHW,United States
Charter Communications Inc,US16119P1084,CHTR,United States
Check Point Software Technologies Ltd,IL0010824113,CHKP,United States
Cheniere Energy Inc,US16411R2085,LNG,United States
Chevron Corp,US1667641005,CVX,United States
Chiba Bank Ltd/The,JP3511800009,8331.T,Japan
China Resources Mixc Lifestyle Services,KYG2122G1064,1209.HK,Hong Kong
Chipotle Mexican Grill Inc,US1696561059,CMG,United States
Chocoladefabriken Lindt & Spruengli AG,CH0010570759,LISN.SW,Switzerland
Chocoladefabriken Lindt & Spruengli AG,CH0010570767,LISP.SW,Switzerland
Chorus Ltd,NZCNUE0001S2,CNU.NZ,New Zealand
Chrysos Corp Ltd,AU0000218190,C79.AX,Australia
Chubb Ltd,CH0044328745,CB,United States
Chubu Electric Power Co Inc,JP3526600006,9502.T,Japan
Chugai Pharmaceutical Co Ltd,JP3519400000,4519.T,Japan
Church & Dwight Co Inc,US1713401024,CHD,United States
Cie Financiere Richemont SA,CH0210483332,CFR.SW,Switzerland
Cie Generale des Etablissements Michelin,FR001400AJ45,ML.PA,France
Cie de Saint-Gobain SA,FR0000125007,SGO.PA,France
Cigna Group/The,US1255231003,CI,United States
Cincinnati Financial Corp,US1720621010,CINF,United States
Cintas Corp,US1729081059,CTAS,United States
Cisarua Mountain Dairy PT TBK,ID1000164700,CMRY.JK,Indonesia
Cisco Systems Inc,US17275R1023,CSCO,United States
Citigroup Inc,US1729674242,C,United States
Citizens Financial Group Inc,US1746101054,CFG,United States
Clariant AG,CH0012142631,CLN.SW,Switzerland
Clarity Pharmaceuticals Ltd,AU0000165375,CU6.AX,Australia
Cleanaway Waste Management Ltd,AU000000CWY3,CWY.AX,Australia
Clinuvel Pharmaceuticals Ltd,AU000000CUV3,CUV.AX,Australia
Clorox Co/The,US1890541097,CLX,United States
Cloudflare Inc,US18915M1071,NET,United States
CoStar Group Inc,US22160N1090,CSGP,United States
Coca-Cola Co/The,US1912161007,KO,United States
Coca-Cola Consolidated Inc,US1910981026,COKE,United States
Coca-Cola Europacific Partners PLC,GB00BDCPN049,CCEP.AS,Netherlands
Coca-Cola HBC AG,CH0198251305,CCH.L,United Kingdom
Cochlear Ltd,AU000000COH5,COH.AX,Australia
Codan Ltd,AU000000CDA3,CDA.AX,Australia
Cognizant Technology Solutions Corp,US1924461023,CTSH,United States
Coinbase Global Inc,US19260Q1076,COIN,United States
Coles Group Ltd,AU0000030678,COL.AX,Australia
Colgate-Palmolive Co,US1941621039,CL,United States
Collins Foods Ltd,AU000000CKF7,CKF.AX,Australia
Coloplast A/S,DK0060448595,COLO-B.CO,Denmark
Comcast Corp,US20030N1019,CMCSA,United States
Commerzbank AG,DE000CBK1001,CBK.DE,Germany
Commonwealth Bank of Australia,AU000000CBA7,CBA.AX,Australia
Compass Group PLC,GB00BD6K4575,CPG.L,United Kingdom
Computershare Ltd,AU000000CPU5,CPU.AX,Australia
Conagra Brands Inc,US2058871029,CAG,United States
Concordia Financial Group Ltd,JP3305990008,7186.T,Japan
ConocoPhillips,US20825C1045,COP,United States
Consolidated Edison Inc,US2091151041,ED,United States
Constellation Brands Inc,US21036P1084,STZ,United States
Constellation Energy Corp,US21037T1097,CEG,United States
Constellation Software Inc/Canada,CA21037X1006,CSU.TO,Canada
Container Corp Of India Ltd,INE111A01025,CONCOR.NS,India
Contemporary Amperex Technology Co Ltd,CNE100003662,300750.SZ,China
Continental AG,DE0005439004,CON.DE,Germany
Cooper Cos Inc/The,US2166485019,COO,United States
Copa Holdings SA,PAP310761054,CPA,United States
Copart Inc,US2172041061,CPRT,United States
Corebridge Financial Inc,US21871X1090,CRBG,United States
Corning Inc,US2193501051,GLW,United States
Coronado Global Resources Inc,AU0000026122,CRN.AX,Australia
Corp Inmobiliaria Vesta SAB de CV,MX01VE0M0003,VESTA.MX,Mexico
Corpay Inc,US2199481068,CPAY,United States
Corporate Travel Management Ltd,AU000000CTD3,CTD.AX,Australia
Corteva Inc,US22052L1044,CTVA,United States
Costco Wholesale Corp,US22160K1051,COST,United States
Coterra Energy Inc,US1270971039,CTRA,United States
Coupang Inc,US22266T1097,CPNG,United States
Covestro AG,DE000A40KY26,1CO.DE,Germany
Coway Co Ltd,KR7021240007,021240.KS,South Korea
Credicorp Ltd,AU000000BAP9,BAP.AX,Australia
Credit Agricole SA,FR0000045072,ACA.PA,France
Credit Corp Group Ltd,AU000000CCP3,CCP.AX,Australia
Croda International PLC,GB00BJFFLV09,CRDA.L,United Kingdom
Crowdstrike Holdings Inc,US22788C1053,CRWD,United States
Crown Holdings Inc,US2283681060,CCK,United States
Cummins Inc,US2310211063,CMI,United States
Cuscal Ltd,PA1436583006,CCL,United States
CyberArk Software Ltd,IL0011334468,CYBR,United States
D'ieteren Group,BE0974259880,DIE.BR,Belgium
DBS Group Holdings Ltd,SG1L01001701,D05.SI,Singapore
DCC PLC,IE0002424939,DCC.L,United Kingdom
DNB Bank ASA,NO0010161896,DNB.OL,Norway
DR Horton Inc,US23331A1097,DHI,United States
DSM-Firmenich AG,CH1216478797,DSFIR.AS,Netherlands
DSV A/S,DK0060079531,DSV.CO,Denmark
DTE Energy Co,US2333311072,DTE,United States
DaVita Inc,US23918K1088,DVA,United States
Dai Nippon Printing Co Ltd,JP3493800001,7912.T,Japan
Dai-ichi Life Holdings Inc,JP3476480003,8750.T,Japan
Daifuku Co Ltd,JP3497400006,6383.T,Japan
Daiichi Sankyo Co Ltd,JP3475350009,4568.T,Japan
Daikin Industries Ltd,JP3481800005,6367.T,Japan
Daimler Truck Holding AG,DE000DTR0CK8,DTG.DE,Germany
Daito Trust Construction Co Ltd,JP3486800000,1878.T,Japan
Daiwa House Industry Co Ltd,JP3505000004,1925.T,Japan
Daiwa Securities Group Inc,JP3502200003,8601.T,Japan
Danaher Corp,US2358511028,DHR,United States
Danone SA,CA11271J1075,BN.TO,Canada
Danske Bank A/S,DK0010274414,DANSKE.CO,Denmark
Darden Restaurants Inc,US2371941053,DRI,United States
Darling Ingredients Inc,US2372661015,DAR,United States
Dassault Aviation SA,FR0014004L86,AM.PA,France
Dassault Systemes SE,FR0014003TT8,DSY.PA,France
Data#3 Ltd,AU000000DTL4,DTL.AX,Australia
Datadog Inc,US23804L1035,DDOG,United States
Davide Campari-Milano NV,NL0015435975,CPR.MI,Italy
Dayforce Inc,US15677J1088,DAY,United States
De Grey Mining Ltd,AU000000DEG6,,
Deckers Outdoor Corp,US2435371073,DECK,United States
Deep Yellow Ltd,AU000000DYL4,DYL.AX,Australia
Deere & Co,US2441991054,DE,United States
Delivery Hero SE,DE000A2E4K43,DHER.DE,Germany
Dell Technologies Inc,US24703L2025,DELL,United States
Delta Air Lines Inc,US2473617023,DAL,United States
Delta Electronics Inc,TW0002308004,2308.TW,Taiwan
Demant A/S,DK0060738599,DEMANT.CO,Denmark
Denso Corp,JP3551500006,6902.T,Japan
Dentsu Group Inc,JP3551520004,4324.T,Japan
Descartes Systems Group Inc/The,CA2499061083,DSG.TO,Canada
Deterra Royalties Ltd,AU0000107484,DRR.AX,Australia
Deutsche Bank AG,DE0005140008,DBK.DE,Germany
Deutsche Boerse AG,DE0005810055,DB1.DE,Germany
Deutsche Lufthansa AG,DE0008232125,LHA.DE,Germany
Deutsche Post AG,DE0005552004,DHL.DE,Germany
Deutsche Telekom AG,US2333311072,DTE,United States
Develop Global Ltd,AU0000179707,DVP.AX,Australia
Devon Energy Corp,US25179M1036,DVN,United States
Dexcom Inc,US2521311074,DXCM,United States
Dexerials Corp,JP3548770001,4980.T,Japan
DiaSorin SpA,IT0003492391,DIA.MI,Italy
Diageo PLC,GB0002374006,DGE.L,United Kingdom
Diamondback Energy Inc,US25278X1090,FANG,United States
Dick's Sporting Goods Inc,US2533931026,DKS,United States
Dicker Data Ltd,AU000000DDR5,DDR.AX,Australia
Dino Polska SA,PLDINPL00011,DNP.WA,Poland
Disco Corp,JP3548600000,6146.T,Japan
Discover Financial Services,US2547091080,,
DocuSign Inc,US2561631068,DOCU,United States
Dollar General Corp,US2566771059,DG,United States
Dollar Tree Inc,US2567461080,DLTR,United States
Dollarama Inc,CA25675T1075,DOL.TO,Canada
Domain Holdings Australia Ltd,AU000000DHG9,,
Dominion Energy Inc,US25746U1097,D,United States
Domino's Pizza Enterprises Ltd,AU000000DMP0,DMP.AX,Australia
Domino's Pizza Inc,US25754A2015,DPZ,United States
DoorDash Inc,US25809K1051,DASH,United States
Dorman Products Inc,US2582781009,DORM,United States
Dover Corp,US2600031080,DOV,United States
Dow Inc,US2605571031,DOW,United States
Downer EDI Ltd,US2605571031,DOW,United States
Dr Ing hc F Porsche AG,DE000PAG9113,P911.DE,Germany
DraftKings Inc,US26142V1052,DKNG,United States
DroneShield Ltd,AU000000DRO2,DRO.AX,Australia
DuPont de Nemours Inc,US26614N1028,DD,United States
