Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,Care Super,Balanced,Fixed Income,1,"Bain Capital Credit, LP",,,,,,,"678,107,650",0.016
31/12/2024,Care Super,Balanced,Fixed Income,1,Barings LLC,,,,,,,"2,380,492",0.0001
31/12/2024,Care Super,Balanced,Fixed Income,1,Capula Investment Management LLP,,,,,,,"385,866,573",0.0091
31/12/2024,Care Super,Balanced,Fixed Income,1,Citigroup Global Market Australia Pty Ltd,,,,,,,"1,129,968,984",0.026699999999999998
31/12/2024,Care Super,Balanced,Fixed Income,1,Coolabah Capital Institutional Investments Pty Ltd,,,,,,,"371,358,069",0.0088
31/12/2024,Care Super,Balanced,Fixed Income,1,"Elementum Advisors, LLC",,,,,,,"239,240,132",0.005600000000000001
31/12/2024,Care Super,Balanced,Fixed Income,1,"Fermat Capital Management, LLC",,,,,,,"304,426,507",0.0072
31/12/2024,Care Super,Balanced,Fixed Income,1,Hayfin Management limited,,,,,,,"11,079,214",0.0003
31/12/2024,Care Super,Balanced,Fixed Income,1,IFM Investors Pty Ltd,,,,,,,"6,950,602",0.0002
31/12/2024,Care Super,Balanced,Fixed Income,1,Jamieson Coote Bonds Pty Ltd,,,,,,,"635,572,105",0.015
31/12/2024,Care Super,Balanced,Fixed Income,1,Janus Henderson Investors (Australia) Institutional Funds Management Limited,,,,,,,"631,650,774",0.0149
31/12/2024,Care Super,Balanced,Fixed Income,1,JPMorgan Asset Management (Australia) Limited,,,,,,,"113,107,911",0.0027
31/12/2024,Care Super,Balanced,Fixed Income,1,"Marathon Asset Management, L.P.",,,,,,,"790,847,662",0.0187
31/12/2024,Care Super,Balanced,Fixed Income,1,Metrics Credit Partners Pty Ltd,,,,,,,"298,588,056",0.006999999999999999
31/12/2024,Care Super,Balanced,Fixed Income,1,Partners Group Holding AG,,,,,,,"8,803,437",0.0002
31/12/2024,Care Super,Balanced,Fixed Income,1,PIMCO Australia Pty Ltd,,,,,,,"422,099,785",0.01
31/12/2024,Care Super,Balanced,Fixed Income,1,QIC Limited,,,,,,,"135,509,409",0.0032
31/12/2024,Care Super,Balanced,Fixed Income,1,"Shenkman Capital Management, Inc",,,,,,,"530,015,057",0.0125
31/12/2024,Care Super,Balanced,Fixed Income,1,State Street Bank and Trust Company,,,,,,,"3,744",0.0
31/12/2024,Care Super,Balanced,Fixed Income,1,TCW Asset Management Company LLC,,,,,,,"585,733,119",0.0138
31/12/2024,Care Super,Balanced,Fixed Income,1,Sub Total,,,,,,,"7,442,634,664",0.17559999999999998
31/12/2024,Care Super,Balanced,Listed Equity,1,3i Group PLC,,III ,LN,"109,771",,,"7,913,584",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,3M Co,,MMM ,United States of America (the),"31,378",,,"6,542,247",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,A O Smith Corp,,AOS ,United States of America (the),"18,472",,,"2,035,056",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,a2 Milk Co Ltd/The,,A2M ,Australia,"4,179,644",,,"24,158,341",0.0006
31/12/2024,Care Super,Balanced,Listed Equity,1,A2A SpA,,A2A ,Isle of Man,"734,539",,,"2,635,095",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,AAC Technologies Holdings Inc,,2018 ,Hong Kong,"403,516",,,"3,146,226",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,ABB Ltd,,ABBN ,SW,"124,208",,,"10,862,266",0.0003
31/12/2024,Care Super,Balanced,Listed Equity,1,Abbott Laboratories,,ABT ,United States of America (the),"37,532",,,"6,856,614",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,AbbVie Inc,,ABBV ,United States of America (the),"91,557",,,"26,277,431",0.0006
31/12/2024,Care Super,Balanced,Listed Equity,1,ABN AMRO Bank NV,,ABN ,NA,"259,927",,,"6,472,933",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Abu Dhabi Commercial Bank PJSC,,ADCB ,UH,"571,402",,,"2,618,102",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Abu Dhabi Islamic Bank PJSC,,ADIB ,UH,"223,291",,,"1,356,924",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Accent Group Ltd,,AX1 ,Australia,"70,732",,,"165,513",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Accenture PLC,,ACN ,United States of America (the),"40,385",,,"22,946,131",0.0005
31/12/2024,Care Super,Balanced,Listed Equity,1,Accton Technology Corp,,2345 ,Trinidad and Tobago,"95,886",,,"3,651,497",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,ACS Actividades de Construccion y Servicios SA,,ACS ,San Marino,"9,176",,,"743,396",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Acuity Brands Inc,,AYI ,United States of America (the),"5,943",,,"2,804,265",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Adairs Ltd,,ADH ,Australia,"31,874",,,"86,059",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,adidas AG,,ADS ,Greece,"3,467",,,"1,372,989",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Adnoc Gas PLC,,ADNOCGAS ,UH,"1,458,562",,,"2,251,175",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,ADNOC Logistics & Services,,ADNOCLS ,UH,"105,983",,,"253,054",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Adobe Inc,,ADBE ,United States of America (the),"78,112",,,"56,100,565",0.0013
31/12/2024,Care Super,Balanced,Listed Equity,1,Adriatic Metals PLC,,ADT ,Australia,"56,209",,,"219,215",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Advanced Micro Devices Inc,,AMD ,United States of America (the),"112,952",,,"22,035,737",0.0005
31/12/2024,Care Super,Balanced,Listed Equity,1,Advantech Co Ltd,,2395 ,Trinidad and Tobago,"312,601",,,"5,336,160",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Advantest Corp,,6857 ,Japan,"77,215",,,"7,298,911",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Adyen NV,,ADYEN ,NA,"12,015",,,"28,876,440",0.0007000000000000001
31/12/2024,Care Super,Balanced,Listed Equity,1,Aena SME SA,,AENA ,San Marino,945,,,"311,848",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,AerCap Holdings NV,,AER ,United States of America (the),"85,981",,,"13,289,837",0.0003
31/12/2024,Care Super,Balanced,Listed Equity,1,Aeroports de Paris SA,,ADP ,FP,372,,,"69,545",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Aflac Inc,,AFL ,United States of America (the),"10,757",,,"1,797,165",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Agilent Technologies Inc,,A ,United States of America (the),"1,682",,,"364,917",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,AGL Energy Ltd,,AGL ,Australia,"927,531",,,"10,471,826",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Agnico Eagle Mines Limited/Mines Agnico Eagle Limitee,,AEM ,China,"35,581",,,"4,493,659",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,AIA Group Ltd,,1299 ,Hong Kong,"3,642,314",,,"42,636,694",0.001
31/12/2024,Care Super,Balanced,Listed Equity,1,AIB Group PLC,,AIBG ,Indonesia,"28,044",,,"249,992",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Aier Eye Hospital Group Co Ltd,,300015 ,C2,"55,764",,,"163,491",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Air Canada,,AC ,China,"16,196",,,"404,875",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Air Liquide SA,,AI ,FP,"11,288",,,"2,962,380",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Airbnb Inc,,ABNB ,United States of America (the),"106,510",,,"22,605,922",0.0005
31/12/2024,Care Super,Balanced,Listed Equity,1,Airbus SE,,AIR ,FP,"60,780",,,"15,733,618",0.0004
31/12/2024,Care Super,Balanced,Listed Equity,1,Airtac International Group,,1590 ,Trinidad and Tobago,"64,337",,,"2,675,081",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Ajinomoto Co Inc,,2802 ,Japan,"6,620",,,"438,976",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Akamai Technologies Inc,,AKAM ,United States of America (the),"14,730",,,"2,275,518",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Akbank TAS,,AKBNK ,TI,"8,775",,,"25,992",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Al Rajhi Bank,,RJHI ,AB,"83,501",,,"3,395,487",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Al Rajhi Co for Co-operative Insurance,,ARCCI ,AB,"3,760",,,"277,329",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Albertsons Cos Inc,,ACI ,United States of America (the),"5,317",,,"168,663",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcoa Corp,,AAI ,Australia,"847,287",,,"50,261,048",0.0012
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcoa Corp,,AA ,United States of America (the),"114,291",,,"6,973,945",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcon Inc,,ALC ,SW,"175,103",,,"23,998,089",0.0006
31/12/2024,Care Super,Balanced,Listed Equity,1,Alfresa Holdings Corp,,2784 ,Japan,400,,,"8,894",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Algonquin Power & Utilities Corp,,AQN ,China,"8,836",,,"63,310",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Alibaba Group Holding Ltd,,BABA ,United States of America (the),"33,025",,,"4,522,634",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Alibaba Group Holding Ltd,,9988 ,Hong Kong,"1,684,531",,,"28,860,507",0.0007000000000000001
31/12/2024,Care Super,Balanced,Listed Equity,1,Align Technology Inc,,ALGN ,United States of America (the),"26,868",,,"9,048,295",0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Allegion plc,,ALLE ,United States of America (the),"87,110",,,"18,385,780",0.0004
31/12/2024,Care Super,Balanced,Listed Equity,1,Allegro.eu SA,,ALE ,Palau,"90,336",,,"956,535",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,ALLETE Inc,,ALE ,United States of America (the),686,,,"71,789",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Alliance Aviation Services Ltd,,AQZ ,Australia,"1,422,167",,,"4,223,835",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Alliant Energy Corp,,LNT ,United States of America (the),"2,922",,,"279,096",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Allianz SE,,ALV ,Greece,"39,841",,,"19,716,529",0.0005
31/12/2024,Care Super,Balanced,Listed Equity,1,Ally Financial Inc,,ALLY ,United States of America (the),"210,681",,,"12,253,285",0.0003
31/12/2024,Care Super,Balanced,Listed Equity,1,Alnylam Pharmaceuticals Inc,,ALNY ,United States of America (the),"10,864",,,"4,129,042",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Alpha Dhabi Holding PJSC,,ALPHADHA ,UH,"944,938",,,"4,944,557",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Alpha HPA Ltd,,A4N ,Australia,"213,646",,,"190,145",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,Alphabet Inc,,GOOGL ,United States of America (the),"589,910",,,"180,360,106",0.0043
31/12/2024,Care Super,Balanced,Listed Equity,1,Alphabet Inc,,GOOG ,United States of America (the),"516,231",,,"158,783,793",0.0037
31/12/2024,Care Super,Balanced,Listed Equity,1,Alps Alpine Co Ltd,,6770 ,Japan,"19,168",,,"317,648",0.0
31/12/2024,Care Super,Balanced,Listed Equity,1,ALS Ltd,,ALQ ,Australia,"2,953,403",,,"44,537,317",0.0011
31/12/2024,Care Super,Balanced,Listed Equity,1,Amadeus IT Group SA,,AMS ,San Marino,"53,032",,,"6,048,909",0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Amazon.com Inc,,AMZN ,United States of America (the),"860,213",,,"304,808,515",0.0072
31/12/2024,Care Super,Balanced,Listed Equity,1,Ambev SA,,ABEV ,United States of America (the),"4,437,468",,,"13,259,008",0.0003
31/12/2024,Care Super,Balanced,Listed Equity,1,Ambev SA,,ABEV3 ,Belize,"157,658",,,"483,894",0.0
