Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
CF Industries Holdings Inc,US,CF INDUSTRIES HOLDINGS INC
CGI Inc,CN,CGI INC
CGI Inc,CN,CGI INC COM NPV SUB VTG SHS CL A
CK Hutchison Holdings Ltd,HK,CK HUTCHISON HOLDINGS LTD
CK Infrastructure Holdings Ltd,HK,CK INFRASTRUCTURE
CME Group Inc,US,CME GROUP INC COM
CMS Energy Corp,US,CMS ENERGY CORP
CSX Corp,US,CSX CORP COM
CVS Health Corp,US,CVS HEALTH CORP
Cadence Design Systems Inc,US,CADENCE DESIGN SYSTEMS INC
Camden Property Trust,US,CAMDEN PROPERTY TRUST
Canadian Apartment Properties REIT,CN,CANADIAN APARTMENT PROPERTIES REITS
Canadian Imperial Bank of Commerce,CN,CANADIAN IMPERIAL BANK OF COMMERCE COM NPV
Canadian National Railway Co,CN,CANADIAN NATIONAL RAILWAY COMPANY
Canadian Pacific Kansas City Ltd,CN,CANADIAN PACIFIC KANSAS CITY
Canadian Pacific Kansas City Ltd,US,CANADIAN PACIFIC KANSAS CITY
Canadian Utilities Ltd,CN,CANADIAN UTILITIES LTD A
Capcom Co Ltd,JP,CAPCOM CO LTD
CapitaLand Ascott Trust,SP,CAPITALAND ASCOTT TRUST
CapitaLand Integrated Commercial Trust,SP,CAPITALAND INTEGRATED COMMERCIAL
Capital One Financial Corp,US,CAPITAL ONE FINANCIAL CORPORATION
Capricorn Metals Ltd,AU,CAPRICORN METALS LTD ORDINARY FULLY PAID
Capstone Copper Corp,AU,CAPSTONE COPPER CORP CDI
Cardinal Health Inc,US,CARDINAL HEALTH INC
CareTrust REIT Inc,US,CARETRUST REIT INC
Carlisle Cos Inc,US,CARLISLE COS INC
Carmila SA,FP,CARMILA SA
Castellum AB,SS,CASTELLUM AB
Catapult Group International Ltd,AU,CATAPULT GROUP INTERNATIONAL LTD ORDINARY FULLY PAID
Catena AB,SS,CATENA AB
Caterpillar Inc,US,CATERPILLAR INC
Cboe Global Markets Inc,US,CBOE GLOBAL MARKET
Celanese Corp,US,CELANESE CORP SERIES A
Cellnex Telecom SA,SM,CELLNEX TELECOM SA
Celsius Holdings Inc,US,CELSIUS HOLDINGS INC
Cencora Inc,US,CENCORA INC COM
Cenovus Energy Inc,CN,CENOVUS ENERGY INC COM NPV
Cenovus Energy Inc,CN,CENOVUS ENERGY INC US LISTING
Centene Corp,US,CENTENE CORPORATION
CenterPoint Energy Inc,US,CENTERPOINT ENERGY INC
Centerspace,US,CENTERSPACE COM NPV
Central Japan Railway Co,JP,CENTRAL JAPAN RAILWAY CO
Centrica PLC,LN,CENTRICA PLC
Centuria Industrial REIT,AU,CENTURIA INDUSTRIAL REIT ORDINARY UNITS FULLY PAID
Centuria Office REIT,AU,CENTURIA OFFICE REIT ORDINARY UNITS FULLY PAID
Champion Iron Ltd,AU,CHAMPION IRON LTD
Charter Communications Inc,US,CHARTER COMMUNICATIONS INC
Charter Hall Group,AU,CHARTER HALL GROUP
Charter Hall Long Wale REIT,AU,CHARTER HALL LONG WALE REIT STAPLED SECURITIES
Charter Hall Retail REIT,AU,CHARTER HALL RETAIL-REIT
Charter Hall Social Infrastructure REIT,AU,CHARTER HALL SOCIAL INFRASTRUCTURE REIT UNITS FULLY PAID
Chartwell Retirement Residences,CN,CHARTWELL RETIREMENT RESIDENCES
Check Point Software Technologies Ltd,US,CHECK POINT SOFTWARE TECH
Cheniere Energy Inc,US,CHENIERE ENERGY INC
Chevron Corp,US,CHEVRON CORP
China Construction Bank Corp,HK,CHINA CONSTRUCTION BANK
China Life Insurance Co Ltd,HK,CHINA LIFE INSURANCE CO LTD
China Mengniu Dairy Co Ltd,HK,CHINA MENGNIU DAIRY CO
China Pacific Insurance Group Co Ltd,HK,CHINA PACIFIC INSURANCE GROUP CO LTD
Choice Properties Real Estate Investment Trust,CN,CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST
Chorus Ltd,AU,CHORUS LTD
Chubu Electric Power Co Inc,JP,CHUBU ELECTRIC POWER CO INC
Church & Dwight Co Inc,US,CHURCH & DWIGHT CO
Cintas Corp,US,CINTAS CORP
Cisco Systems Inc,US,CISCO SYSTEMS INC
Citigroup Inc,US,CITIGROUP INC USD
Clinuvel Pharmaceuticals Ltd,AU,CLINUVEL PHARMACEUTICALS LTD
Cloudflare Inc,US,CLOUDFLARE INC
CoStar Group Inc,US,COSTAR GROUP INC COM
Coca-Cola HBC AG,LN,COCA COLA HBC AG ORD
Cofinimmo SA,BB,COFINIMMO
Coinbase Global Inc,US,COINBASE GLOBAL INC
Coles Group Ltd,AU,COLES GROUP LTD
Colgate-Palmolive Co,US,COLGATE PALMOLIVE
Colgate-Palmolive India Ltd,IN,COLGATE PALMOLIVE
Comcast Corp,US,COMCAST CORP
Comforia Residential REIT Inc,JP,COMFORIA RESIDENTIAL REIT INC
ComfortDelGro Corp Ltd,SP,COMFORTDELGRO CORP LTD
Commonwealth Bank of Australia,AU,COMMONWEALTH BANK OF AUSTRALIA
Commonwealth Bank of Australia,AU,COMMONWEALTH BANK OF AUSTRALIA CAP NOTE 3-BBSW+2.75% PERP NON-CUM RED T-06-29
