Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting,_Listed Country (before),_Listed Country (after)
31/12/2024,Care Super,Balanced,Listed Equity,1,Assurant Inc,,AIZ,US,13040.0,,,4490609.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Assured Guaranty Ltd,,AGO,US,4587.0,,,666889.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,AstraZeneca PLC,,AZN,LN,99862.0,,,21145110.0,0.0005,LN,United Kingdom
31/12/2024,Care Super,Balanced,Listed Equity,1,Asustek Computer Inc,,2357,TT,76258.0,,,2314202.0,0.0001,TT,Taiwan
31/12/2024,Care Super,Balanced,Listed Equity,1,ASX Ltd,,ASX,AU,180866.0,,,11770785.0,0.0003,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,AT&T Inc,,T,US,400228.0,,,14718891.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Atco Ltd/Canada,,ACO/X,CN,897.0,,,47951.0,0.0,CN,Canada
31/12/2024,Care Super,Balanced,Listed Equity,1,ATI Inc,,ATI,US,21345.0,,,1897452.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Atlas Copco AB,,ATCOBS,M0,39739.0,,,868119.0,0.0,M0,France
31/12/2024,Care Super,Balanced,Listed Equity,1,Atlas Copco AB,,ATCOA,SS,69625.0,,,1718453.0,0.0,SS,Sweden
31/12/2024,Care Super,Balanced,Listed Equity,1,Atlas Copco AB,,ATCOB,SS,84989.0,,,1856640.0,0.0,SS,Sweden
31/12/2024,Care Super,Balanced,Listed Equity,1,Atlassian Corp,,TEAM,US,78909.0,,,31018098.0,0.0007000000000000001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Atmos Energy Corp,,ATO,US,31579.0,,,7103327.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,AU Small Finance Bank Ltd,,AUBANK,IN,929477.0,,,9803673.0,0.0002,IN,India
31/12/2024,Care Super,Balanced,Listed Equity,1,AUB Group Ltd,,AUB,AU,370928.0,,,11572950.0,0.0003,AU,Australia
