Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Australian Rail Track Corp Ltd,,2170028.046,0.00003131,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Barclays PLC,,1705067.142,0.0000246,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Bendigo & Adelaide Bank Ltd,,5164177.245,0.00007452,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Brisbane Airport Corp Pty Ltd,,18315423.73,0.00026428,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Charter Hall LWR Pty Ltd,,18267380.81,0.00026358,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Chorus Ltd,,5387773.73,0.00007774,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,CIP Funding Pty Ltd,,3833764.105,0.00005532,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Commonwealth Bank of Australia,,52370014.41,0.00075566,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,ConnectEast Finance Pty Ltd,,6248654.466,0.00009016,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Cooperatieve Rabobank UA,,7160810.715,0.00010333,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Cooperatieve Rabobank UA/Australia,,20148121.2,0.00029072,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,ElectraNet Pty Ltd,,6075578.429,0.00008767,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,ETSA Utilities Finance Pty Ltd,,18590716.66,0.00026825,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Export Finance & Insurance Corp,,22667366.42,0.00032707,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,GAIF Bond Issuer Pty Ltd,,1506400.603,0.00002174,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,GTA Finance Co Pty Ltd,,2562966.184,0.00003698,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Housing Australia,,10282620.84,0.00014837,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,ING Bank Australia Ltd,,18845993.76,0.00027193,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Lloyds Banking Group PLC,,4317551.626,0.0000623,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Lonsdale Finance Pty Ltd,,48714250.88,0.00070291,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Macquarie Bank Ltd,,28711282.89,0.00041428,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Mirvac Group Finance Ltd,,1707016.681,0.00002463,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Monash University,,4975292.308,0.00007179,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,National Australia Bank Ltd,,52799927.13,0.00076186,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,NBN Co Ltd,,60299360.07,0.00087007,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Network Finance Co Pty Ltd,,8803780.789,0.00012703,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,New South Wales Treasury Corp,,200641881.9,0.00289511,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,New Terminal Financing Co Pty Ltd,,3925503.495,0.00005664,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,New Zealand Local Government Funding Agency Bond,,6029916.826,0.00008701,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Northern Territory Treasury Corp,,10842422.6,0.00015645,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,NSW Electricity Networks Finance Pty Ltd,,3583083.855,0.0000517,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,QPH Finance Co Pty Ltd,,5737831.75,0.00008279,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Qube Treasury Pty Ltd,,8942791.423,0.00012904,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Queensland Treasury Corp,,126948306.7,0.00183177,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Region Retail Trust,,15510025.04,0.0002238,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Registry Finance Pty Ltd,,34840429.83,0.00050272,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Scentre Group Trust 1,,12073336.33,0.00017421,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,South Australian Government Financing Authority,,31887323.01,0.00046011,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Tasmanian Public Finance Corp,,34257776.42,0.00049431,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Telstra Group Ltd,,17413967.4,0.00025127,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Transpower New Zealand Ltd,,12430988.57,0.00017937,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Transurban Queensland Finance Pty Ltd,,8846746.857,0.00012765,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Treasury Corp of Victoria,,210114615.7,0.00303179,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,UBS AG/Australia,,3195442.971,0.00004611,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,United Energy Distribution Pty Ltd,,1301709.139,0.00001878,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,United Overseas Bank Ltd/Sydney,,1375730.607,0.00001985,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,University Of Melbourne,,2563373.892,0.00003699,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,University of Sydney/The,,18276868.96,0.00026372,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,University of Technology Sydney,,18137755.77,0.00026171,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,University of Wollongong/The,,8292718.365,0.00011966,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Western Australian Treasury Corp,,52565320.11,0.00075848,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Westpac Banking Corp,,20683204.91,0.00029844,,,
31/12/2024,Balanced Growth,Fixed Income,Internally Managed,Woolworths Group Ltd,,28651982.31,0.00041343,,,
31/12/2024,Balanced Growth,Fixed Income External Total,,,,7431149362,0.1072258,,,
31/12/2024,Balanced Growth,Fixed Income Internal Total,,,,2282637578,0.03293671,,,
31/12/2024,Balanced Growth,Listed Equity,,360 Security Technology Inc,24711.37752,56593.04573,0.00000082,,,CNE100002RZ2
31/12/2024,Balanced Growth,Listed Equity,,37 Interactive Entertainment Network Technology Group Co Ltd,7884.880327,27287.11593,0.00000039,,,CNE1000010N2
31/12/2024,Balanced Growth,Listed Equity,,3i Group PLC,58097.74184,4188359.591,0.00006043,,,GB00B1YW4409
31/12/2024,Balanced Growth,Listed Equity,,3M Co,116604.3427,24311482.84,0.0003508,,,US88579Y1010
31/12/2024,Balanced Growth,Listed Equity,,a2 Milk Co Ltd/The,3037412.715,17556245.49,0.00025332,,,NZATME0002S8
31/12/2024,Balanced Growth,Listed Equity,,AAC Technologies Holdings Inc,42675.89867,332744.9574,0.0000048,,,KYG2953R1149
31/12/2024,Balanced Growth,Listed Equity,,ABB India Ltd,3148.262011,410535.5528,0.00000592,,,INE117A01022
31/12/2024,Balanced Growth,Listed Equity,,ABB Ltd,282211.4008,24680074.91,0.00035611,,,CH0012221716
31/12/2024,Balanced Growth,Listed Equity,,Abbott Laboratories,180834.2736,33035879.34,0.00047668,,,US0028241000
31/12/2024,Balanced Growth,Listed Equity,,AbbVie Inc,272615.0789,78242266.85,0.00112898,,,US00287Y1091
31/12/2024,Balanced Growth,Listed Equity,,ABIOMED Inc,1224.686818,69230.46159,0.000001,,,US003CVR0169
31/12/2024,Balanced Growth,Listed Equity,,ABN AMRO Bank NV,431275.3901,10739977.92,0.00015497,,,NL0011540547
31/12/2024,Balanced Growth,Listed Equity,,Absa Group Ltd,50862.08403,826053.2159,0.00001192,,,ZAE000255915
31/12/2024,Balanced Growth,Listed Equity,,Abu Dhabi Commercial Bank PJSC,176419.1145,808333.2261,0.00001166,,,AEA000201011
31/12/2024,Balanced Growth,Listed Equity,,Abu Dhabi Islamic Bank PJSC,86336.18808,524660.0345,0.00000757,,,AEA000801018
31/12/2024,Balanced Growth,Listed Equity,,Abu Dhabi National Oil Co for Distribution PJSC,185710.0664,287445.2795,0.00000415,,,AEA006101017
31/12/2024,Balanced Growth,Listed Equity,,Accent Group Ltd,1652884.783,3867750.391,0.00005581,,,AU000000AX19
31/12/2024,Balanced Growth,Listed Equity,,Accenture PLC,100434.1785,57064911.01,0.0008234,,,IE00B4BNMY34
31/12/2024,Balanced Growth,Listed Equity,,Acciona SA,5366.139247,975540.9349,0.00001408,,,ES0125220311
31/12/2024,Balanced Growth,Listed Equity,,Accor SA,7050.419004,554672.0147,0.000008,,,FR0000120404
31/12/2024,Balanced Growth,Listed Equity,,Accton Technology Corp,30145.7898,1147999.225,0.00001656,,,TW0002345006
31/12/2024,Balanced Growth,Listed Equity,,Acer Inc,172329.3432,337891.8659,0.00000488,,,TW0002353000
31/12/2024,Balanced Growth,Listed Equity,,ACS Actividades de Construccion y Servicios SA,21135.47722,1712261.956,0.00002471,,,ES0167050915
31/12/2024,Balanced Growth,Listed Equity,,Acuity Brands Inc,15195.21016,7169469.023,0.00010345,,,US00508Y1029
31/12/2024,Balanced Growth,Listed Equity,,Adairs Ltd,2074.303476,5600.619386,0.00000008,,,AU000000ADH2
31/12/2024,Balanced Growth,Listed Equity,,AddTech AB,59291.59708,2610473.69,0.00003767,,,SE0014781795
31/12/2024,Balanced Growth,Listed Equity,,Adecco Group AG,12065.58124,480812.6781,0.00000694,,,CH0012138605
31/12/2024,Balanced Growth,Listed Equity,,adidas AG,17953.87669,7110398.64,0.0001026,,,DE000A1EWWW0
31/12/2024,Balanced Growth,Listed Equity,,Admiral Group PLC,62807.17321,3359059.614,0.00004847,,,GB00B02J6398
31/12/2024,Balanced Growth,Listed Equity,,ADNOC Drilling Co PJSC,186561.9586,437247.544,0.00000631,,,AEA007301012
31/12/2024,Balanced Growth,Listed Equity,,Adobe Inc,82902.16736,59541202.91,0.00085913,,,US00724F1012
31/12/2024,Balanced Growth,Listed Equity,,Adriatic Metals PLC,12714.32177,49585.85489,0.00000072,,,AU0000004772
31/12/2024,Balanced Growth,Listed Equity,,Advanced Drainage Systems Inc,14614.49644,2728637.307,0.00003937,,,US00790R1041
31/12/2024,Balanced Growth,Listed Equity,,Advanced Info Service PCL,312.489735,4248.454198,0.00000006,,,TH0268010Z11
31/12/2024,Balanced Growth,Listed Equity,,Advanced Info Service PCL,66574.40193,905112.2815,0.00001306,,,TH0268010R11
31/12/2024,Balanced Growth,Listed Equity,,Advanced Micro Devices Inc,206114.594,40210904.96,0.00058021,,,US0079031078
31/12/2024,Balanced Growth,Listed Equity,,Advanced Micro-Fabrication Equipment Inc China,2200.450623,92101.49877,0.00000133,,,CNE100003MM9
31/12/2024,Balanced Growth,Listed Equity,,Advantech Co Ltd,27715.76079,473113.6454,0.00000683,,,TW0002395001
