Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
IMPALA PLATINUM HOLDINGS LTD ZAR0.025,B1FFT76,"1,442,519","10,834,266",0.01%
IMPEDIMED LTD NPV,B282M83,"55,631,449","2,892,835",0.00%
IMPERIAL BRANDS PLC,454492,"144,735","7,474,343",0.01%
IMPERIAL OIL LTD COM NEW,2454241,"24,587","2,446,104",0.00%
INCITEC PIVOT LTD NPV,6673042,"41,456,562","121,467,727",0.15%
INCYTE GENOMICS INC COM,2471950,"2,324","259,229",0.00%
INDITEX,BP9DL90,"98,332","8,163,575",0.01%
INDOCEMENT TUNGGAL PRAKARSA TBK,6454861,"23,275,791","17,283,896",0.02%
INDOSAT TBK,B00FYK2,"8,033,692","1,999,274",0.00%
INDRAPRASTHA GAS LTD,BD9PXD0,"2,800,309","21,957,386",0.03%
INDUSTRIAL BANK CO LTD -A,BP3R295,"731,722","3,084,331",0.00%
INDUSTRIVARDEN AB-A SHS INDUA,B1VSK10,143,"7,289",0.00%
INDUSTRIVARDEN AB-C SHS SER'C'NPV,B1VSK54,"4,181","213,346",0.00%
INDUTRADE AB NPV,B0LDBX7,"1,975","79,962",0.00%
INFINEON TECHNOLOGIES AG,5889505,"448,031","23,528,365",0.03%
INFOMEDIA LIMITED INFOMEDIA LIMITED,6268095,"478,054","736,203",0.00%
INFORMA GROUP PLC INFORMA GROUP PLC,BMJ6DW5,"21,493","347,114",0.00%
INFOSYS LTD,2398822,"532,991","18,869,682",0.02%
INFRASTRUTTURE WIRELESS ITAL INW,BZ0P4R4,"3,350","54,986",0.00%
INFRATIL LTD,6459286,"7,214","82,253",0.00%
INFRATIL LTD IFT,B6923R6,"1,276,168","14,765,265",0.02%
ING GROEP NV-CVA,BZ57390,"31,534","797,940",0.00%
INGENIA COMMUNITIES GROUP,B84GSC7,"118,285","541,744",0.00%
INGERSOLL-RAND INC,BL5GZ82,"3,849","562,365",0.00%
INGHAMS GROUP LTD ING,BZCNHW2,"823,429","2,618,504",0.00%
INNER MONGOLIA MENGDIAN HU-A,BP3R723,"1,832,498","1,745,625",0.00%
INNER MONGOLIA YILI INDUS-A,BP3R2V7,"500,920","3,325,883",0.00%
INPEX CORP,B10RB15,"10,112","204,780",0.00%
INSIGNIA FINANCIAL LTD,6714394,"42,348,917","150,338,656",0.18%
INSPUR ELECTRONIC INFORMAT-A,BD5CLB9,"75,286","859,281",0.00%
INSULET CORP COM STK USD0.001,B1XGNW4,709,"299,136",0.00%
INSURANCE AUSTRALIA GROUP SHS,6271026,"14,381,174","121,664,736",0.15%
INTACT FINANCIAL CORP,B04YJV1,"1,728","507,869",0.00%
INTEL CORP,2463247,"42,651","1,381,159",0.00%
INTELLIGENT MONITORING GROUP,BMF19D7,"5,528,051","3,095,708",0.00%
INTERACTIVE BROKERS GRO-CL A COM STK CLA,B1WT4X2,"75,189","21,454,730",0.03%
INTERCONTINENTAL EXCHANGE INC,BFSSDS9,"5,718","1,376,085",0.00%
INTERCONTINENTAL HOTELS GROU,BHJYC05,"2,624","528,401",0.00%
INTERFOR CORPORATION,BMJ71W4,"16,994","320,432",0.00%
INTERGAL DIAGNOSTICS LTD,BYV2ZK7,"5,168,908","15,041,523",0.02%
INTERNATIONAL BUSINESS COM,2005973,"9,101","3,231,228",0.00%
INTERNATIONAL FLAVORS& COM,2464165,"2,066","282,155",0.00%
INTERNATIONAL SEAWAYS INC-WI,BYX60M4,"214,276","12,438,174",0.02%
INTERPUBLIC GROUP COS COM,2466321,"5,350","242,107",0.00%
INTERTEK GROUP PLC ORD GBP0.01,3163836,"1,816","173,712",0.00%
INTESA SANPAOLO,4076836,"140,300","906,437",0.00%
INTL CONSOLIDATED AIRLINE-DI,B5M6XQ7,"668,337","4,081,368",0.00%
INTL PAPER CO COM,2465254,"4,692","407,843",0.00%
INTUIT INC,2459020,"76,358","77,510,988",0.09%
INTUITIVE SURGICAL INC COM USD0.001,2871301,"104,602","88,182,417",0.11%
INVESTMENT AB LATOUR-B SHS,BZ404X1,"-2,555","-103,031",0.00%
INVESTOR AB-B SHS,BMV7PQ4,"160,074","6,848,802",0.01%
INVITATION HOMES INC,BD81GW9,"5,349","276,201",0.00%
IPD GROUP LTD,BP9SCC5,"1,038,293","4,018,193",0.00%
IPERIONX LTD,BMCB2H5,"1,726,359","9,494,976",0.01%
IPH LTD IPH,BS7K5S1,"842,716","4,238,861",0.01%
IPSEN EUR1,B0R7JF1,151,"28,043",0.00%
IQVIA HOLDINGS INC,BDR73G1,"93,628","29,716,171",0.04%
IRESS MARKET TECHNOLOGY LTD NPV,6297497,"3,903,080","36,337,671",0.04%
IRON MTN INC PA COM,BVFTF03,"3,124","530,329",0.00%
ISRAEL DISCOUNT BANK-A ILS0.10 SER'A',6451271,-929,"-10,266",0.00%
ISUZU MOTORS LTD COM,6467104,"4,903","108,752",0.00%
ITAU UNIBANCO HLDNG-PREF ADR,2849739,"3,576,672","28,652,656",0.04%
ITC LTD,B0JGGP5,"1,432,532","13,070,206",0.02%
ITOCHU CORP ORD,6467803,"68,058","5,477,862",0.01%
ITT INC,BZBY209,"88,354","20,389,203",0.02%
IVANHOE MINES LTD-CL A IVN,BD73C40,"91,462","1,752,282",0.00%
J P MORGAN CHASE & CO COM,2190385,"74,663","28,906,592",0.04%
JABIL INC,2471789,"1,273","295,871",0.00%
JACK HENRY & ASSOCIATES INC COM USD0.01,2469193,"64,012","18,123,781",0.02%
JAFRON BIOMEDICAL CO LTD-A,BFY8H03,"17,263","111,426",0.00%
JAMES HARDIE INDUSTRIES PLC,B60QWJ2,"3,698,617","185,189,762",0.23%
JAPAN AIRLINES COMPANY LTD NPV,B8BRV46,"4,353","111,511",0.00%
JAPAN ELEVATOR SERVICE HOLDI 6544,BF0QWT5,"28,567","856,071",0.00%
JAPAN EXCHANGE GROUP INC,6743882,"7,093","129,014",0.00%
JAPAN PETROLEUM EXPLORATION SHS,6711696,"757,171","8,831,853",0.01%
JAPAN POST BANK CO LTD 7182,BYT8165,"11,701","179,717",0.00%
JAPAN POST HOLDINGS CO LTD 6178,BYT8143,"23,855","365,405",0.00%
JAPAN POST INSURANCE CO LTD 7181,BYT8154,673,"20,097",0.00%
JAPAN REAL ESTATE INVESTMENT,6397580,122,"134,769",0.00%
JAPAN TOBACCO INC,6474535,"10,160","426,006",0.00%
JARDINE MATHESON HLDGS ORD,6472119,"144,085","9,534,297",0.01%
JB HI-FI LTD NPV,6702623,"394,463","36,558,876",0.04%
JD SPORTS FASHION,BM8Q5M0,"12,093","23,459",0.00%
JD.COM INC - CL A,BKPQZT6,"1,335,502","37,764,245",0.05%
JD.COM INC-ADR,BMM27D9,"181,518","10,164,317",0.01%
JDE PEET'S BV JDEP,BMC4ZZ3,"3,738","103,351",0.00%
JEFFERIES FINANCIAL GROUP IN,BG0Q4Z2,"198,478","25,132,277",0.03%
JERONIMO MARTINS,B1Y1SQ7,"6,002","185,198",0.00%
JFE HOLDINGS INC NPV,6543792,"6,457","118,079",0.00%
JIANGSU CHANGJIANG ELECTRONI,BP3RCQ2,"491,794","4,420,806",0.01%
JIANGSU HENGRUI MEDICINE C-A,BP3R369,"154,922","1,564,395",0.00%
JIANGSU PHOENIX PUBLISH-A,BP3R5F2,"717,273","1,820,999",0.00%
JOBY AVIATION INC,BMCRLL0,"1,005,155","13,198,591",0.02%
JOHN KEELLS HOLDINGS PLC NPV,6475538,"145,790,243","18,162,570",0.02%
JOHNS LYNG GROUP LTD,BYPHBX3,"8,756","32,748",0.00%
JOHNSON & JOHNSON COM,2475833,"222,622","51,999,610",0.06%
JOHNSON CONTROLS INTERNATION,BY7QL61,"6,063","772,953",0.00%
JOHNSON ELECTRIC HLDGS,BP4JH17,"1,453,627","3,294,405",0.00%
JOINCARE PHARMACEUTICAL GR-A,BP3RBV0,"795,145","1,971,468",0.00%
JUDO CAPITAL HOLDINGS LTD,BMW7F41,"7,366,865","13,407,694",0.02%
JULIUS BAER GROUP LTD,B4R2R50,"2,489","260,182",0.00%
JUMBO INTERACTIVE LTD JUMBO INTERACTIVE,6524474,"106,313","1,479,877",0.00%
JUNIPER NETWORKS INC COM,2431846,"2,975","179,975",0.00%
KAJIMA CORP,6481320,"4,967","147,064",0.00%
KANSAI ELECTRIC POWER,6483489,"7,427","133,842",0.00%
KANSAI PAINT CO LTD,6483746,"955,058","22,211,424",0.03%
KAO CORP,6483809,"4,768","312,995",0.00%
KAR AUCTION SERVICES INC COM USD0.01,B4Y1MH7,"1,053,981","33,773,693",0.04%
KAROON ENERGY LTD,B00SV00,"6,252,166","8,690,511",0.01%
KASIKORNBANK PCL (ALIEN MKT),6888794,"4,019,448","29,608,269",0.04%
KAWASAKI KISEN KAISHA LTD NPV,6484686,"7,011","162,434",0.00%
KBC CORP LTD-A,IE000S9YS762 (ISIN),"132,967","616,058",0.00%
KDDI CORP,6248990,"43,964","2,278,059",0.00%
KE HOLDINGS INC,BMBX7M2,"476,088","14,163,847",0.02%
KELLANOVA,2486813,"2,761","361,064",0.00%
KELSIAN GROUP LTD,BPBKR80,"3,139,466","11,490,445",0.01%
KENVUE INC,BQ84ZQ6,"1,303,354","44,943,230",0.05%
KEPPEL LTD,B1VQ5C0,"16,645","134,794",0.00%
KERING,5505072,812,"323,373",0.00%
KERRY GROUP PLC-A 'A'ORD EUR0.125,490656,899,"136,598",0.00%
KERRY GROUP PLC-A ORD,4519579,"76,650","11,954,082",0.01%
KESKO OYJ-B SHS NPV SER'B',4490005,"7,092","215,643",0.00%
KEURIG DR PEPPER INC,BD3W133,"11,135","577,655",0.00%
KEYCORP NEW COM,2490911,"6,225","172,330",0.00%
KEYENCE CORPORATION,6490995,"31,175","20,706,292",0.03%
KEYERA CORP COM NPV,B3SGMV5,"2,815","138,989",0.00%
KEYSIGHT TECHNOLOGIES IN-W/I KEYS-W,BQZJ0Q9,"84,451","21,909,722",0.03%
KGL RESOURCES LTD,B066SP2,"8,686,398","825,208",0.00%
KIKKOMAN CORPORATION KIKKOMAN CORPORATIO,6490809,"7,320","132,595",0.00%
KIMBERLY CLARK CORP COM,2491839,"3,191","675,262",0.00%
KIMCO REALTY CORP COM STK USD0.01,2491594,"6,348","240,235",0.00%
KINDER MORGAN INC COM USD0.01,B3NQ4P8,"19,482","862,155",0.00%
KINGFA SCI.& TECH CO LTD-A,BP3R8H5,"224,490","426,707",0.00%
KINGFISHER PLC,3319521,"2,625,384","13,207,353",0.02%
KINGNET NETWORK CO LTD-A 002517,BD5CC27,"686,278","2,054,838",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,492793,"1,563","182,558",0.00%
KINGSPAN GROUP PLC ORD EUR0.13,4491235,"116,857","13,768,617",0.02%
KINROSS GOLD CORP,B03Z841,"10,284","154,179",0.00%
KIRIN HOLDINGS COMPANY LIMITED,6493745,"6,096","128,366",0.00%
KKR & CO INC,BG1FRR1,"5,947","1,420,704",0.00%
KLA-TENCOR CORP COM,2480138,"1,361","1,385,574",0.00%
KLEPIERRE EUR1.40,7582556,"3,910","181,813",0.00%
KMD BRANDS LTD,B59HM77,"14,615,530","5,700,057",0.01%
KNIGHT-SWIFT TRANSPORTATION,BF0LKD0,"1,958","167,723",0.00%
KNORR-BREMSE AG,BD2P9X9,190,"22,402",0.00%
KOBE BUSSAN CO LTD 3038,B14RJB7,"1,414","49,994",0.00%
KOC HOLDING AS TRY1,B03MVJ8,"518,009","4,225,733",0.01%
KOGAN.COM LTD,BYYY339,"1,405,671","8,729,216",0.01%
KOITO MANUFACTURING CO LTD NPV,6496324,"112,357","2,318,608",0.00%
KOKUSAI ELECTRIC CORP,BNGHNG2,"1,939","42,733",0.00%
KOMORI CORPORATION,6496658,"501,216","6,222,344",0.01%
KONAMI GROUP CORP,6496681,"1,605","244,110",0.00%
KONE CORP NEW NPV ORD 'B',B09M9D2,"3,230","253,892",0.00%
KONINKLIJKE AHOLD DELHAIZE NV,BD0Q398,"9,914","522,131",0.00%
KONINKLIJKE KPN NV,5956078,"48,454","284,848",0.00%
KONINKLIJKE PHILIPS NV,5986622,"10,129","413,360",0.00%
KOREA ELECTRIC POWER CORP,6495730,"528,289","11,620,872",0.01%
KOREA INVESTMENT HOLDINGS CO KRW5000,6654586,"217,469","17,011,409",0.02%
KOTAK MAHINDRA BANK LTD,6135661,"1,010,570","34,049,197",0.04%
KPIT TECHNOLOGY LTD,BFMX0X4,"603,250","16,668,377",0.02%
KR1 PLC,BYYPQX3,"1,141,211","1,477,383",0.00%
KRAFT HEINZ CO/THE,BYRY499,"8,719","432,441",0.00%
KRAFTON INC,BMBP900,"32,518","11,148,883",0.01%
KREDIETBANK NV PARTS S ORD,4497749,"5,197","647,833",0.00%
KROGER CO COM,2497406,"81,820","8,080,901",0.01%
KT CORP,6505316,"82,958","3,990,996",0.00%
KT CORP SPONSORED ADR,2419875,"243,956","6,115,144",0.01%
KUBOTA CORP,6497509,"14,689","277,615",0.00%
KUEHNE & NAGEL INTL AG-REG CHF1(REGD)(PO,B142S60,560,"207,476",0.00%
KWEICHOW MOUTAI CO LTD-A,BP3R2F1,"143,464","48,100,327",0.06%
KYOCERA CORP ORD,6499260,"223,042","3,611,328",0.00%
KYOTO FINANCIAL GROUP INC,BMV4NR2,"307,818","7,339,119",0.01%
KYOWA KIRIN CO LTD,6499550,"9,674","236,177",0.00%
LA FRANCAISE DES JEUX SAEM FDJ,BG0SC10,"1,438","89,530",0.00%
LABCORP HOLDINGS INC,BSBK800,956,"353,909",0.00%
LAM RESEARCH CORP,US5128073062 (ISIN),"61,057","7,122,849",0.01%
LAMB WESTON HOLDING INC LW-W,BDQZFJ3,"1,358","146,540",0.00%
LAND SECURITIES GROUP PLC,BYW0PQ6,"3,450","40,754",0.00%
LARGAN PRECISION CO LTD,6451668,"199,242","26,256,563",0.03%
LAS VEGAS SANDS CORP COM USD0.001,B02T2J7,"3,610","299,418",0.00%
LASERTEC CORPORATION LASERTEC CORPORATIO,6506267,946,"147,601",0.00%
LAUDER ESTEE COS INC CL A,2320524,"2,304","279,044",0.00%
LEAR CORP,B570P91,"147,658","22,584,518",0.03%
LEG IMMOBILIEN AG NPV,B9G6L89,973,"133,173",0.00%
LEGAL & GENERAL GROUP PLC,560399,"45,023","209,280",0.00%
LEGEND UPSTAR HOLDINGS LTD,BYXGD92,"5,596,447","90,762",0.00%
LEGRAND LEGRAND,B11ZRK9,"3,185","500,854",0.00%
Lendlease Group,AU000000LLC3 (ISIN),"18,335,669","114,231,218",0.14%
LENNAR CORP COM,2511920,"2,407","530,045",0.00%
LENNOX INTERNATIONAL INC,2442053,272,"267,697",0.00%
LENS TECHNOLOGY CO LTD-A,BD5CP17,"1,312,567","6,323,901",0.01%
LENTA LTD-REG S LNTA,BJ621Y3,"135,761",0,0.00%
LEO LITHIUM LTD,BPX2X20,"9,722,649","4,909,938",0.01%
LESAKA TECHNOLOGIES INC,B0B0WZ7,"815,628","7,126,785",0.01%
LG CHEM LTD,6346913,"18,008","4,939,184",0.01%
LIBERTY BROADBAND-A LBRDA,BRTLBY3,592,"71,094",0.00%
LIBERTY BROADBAND-C LBRDK,BRTLC06,"2,955","356,830",0.00%
LIBERTY LATIN AMERICA-CL A-WI,BD9Q3P5,"20,940","215,099",0.00%
LIBERTY LATIN AMERICA-CL-C-WI,BD9Q3Q6,"28,424","291,056",0.00%
LIBERTY MEDIA CORP-LIBERTY-A,BPLYVQ8,"1,592","171,121",0.00%
LIBERTY MEDIA CORP-LIBERTY-C,BPLYVR9,"2,314","254,322",0.00%
LIBERTY MEDIA CORP-LIB-NEW-A,BPLYVM4,"1,311","178,012",0.00%
LIBERTY MEDIA CORP-LIB-NEW-C,BPLYVN5,"28,409","4,251,538",0.01%
LIC HOUSING FINANCE LTD,6101026,"575,012","6,487,257",0.01%
LIFCO AB-B SHS,BL6K7K9,"2,254","105,613",0.00%
LIFE360 INC-CDI,BJMXQ67,"3,267,505","73,649,562",0.09%
LIFESTYLE COMMUNITIES LTD NPV,6137195,"480,592","4,113,864",0.01%
LIGHT & WONDER INC-CDI,BMXNX11,"541,152","74,224,397",0.09%
LINAMAR CORP COM NPV,2516022,"311,626","19,874,220",0.02%
LINDE PLC,BNZHB81,"4,810","3,252,832",0.00%
LINDT & SPRUENGLI AG-PC,5962280,16,"288,031",0.00%
LINGYI ITECH GUANGDON-RIGHTS18NOV24,CNE1000015L5 (ISIN),964,0,0.00%
LINK REIT NPV,B0PB4M7,"21,557","147,239",0.00%
LIONS GATE ENTERTAINMENT-B LGF/B,BD8NB53,0,0,0.00%
LIONTOWN RESOURCES LTD,B1J89V5,"151,568","79,573",0.00%
LIVANOVA PLC LIVN,BYMT0J1,"242,278","18,121,444",0.02%
LIVE NATION ENTERTAINMENT INC,B0T7YX2,"1,336","279,430",0.00%
LIVON PHARMACEUTICAL GROU-A,BD5CQ25,"579,239","4,842,406",0.01%
LKQ CORP COM USD0.01,2971029,"3,277","194,485",0.00%
LLOYDS BANKING GROUP PLC,870612,"9,080,572","10,061,956",0.01%
LOBLAW COS LTD COM,2521800,"1,243","263,967",0.00%
LOEWS CORP COM,2523022,"30,214","4,132,772",0.01%
LOGITECH INTERNATIONAL-REG CHF0.25(REGD),B18ZRK2,"1,463","195,667",0.00%
LOJAS RENNER S.A. SHS,B0CGYD6,"2,787,133","8,831,371",0.01%
LOMA NEGRA CIA IND-SPON ADR,BYP6YP3,"208,594","4,022,625",0.00%
LOMON BILLIONS GROUP CO-A,BD5LS71,"219,699","854,052",0.00%
LONDON STOCK EXCHANGE GROUP ORD GBP0.069,B0SWJX3,"375,668","85,753,750",0.10%
LONZA AG-REG,7333378,660,"630,578",0.00%
LOOMIS AB-B,BMVB566,"362,476","17,824,076",0.02%
L'OREAL,4057808,"2,356","1,346,802",0.00%
LOTTERY CORP/THE,BNRQW72,"1,106,419","5,465,708",0.01%
LOTUS BAKERIES,4224992,2,"27,439",0.00%
LOTUS RESOURCES LTD,BK6XLC1,"65,152,430","13,030,486",0.02%
LOUISIANA-PACIFIC CORP COM,2535243,"77,106","12,895,708",0.02%
LOVISA HOLDINGS LTD,BT9PVP0,"652,642","19,683,687",0.02%
LOWES COS INC COM,2536763,"5,731","2,284,290",0.00%
LPL FINANCIAL HOLDINGS INC LPL FINANCIAL,B75JX34,709,"373,969",0.00%
LSL PROPERTY SERVICES PLC ORD GBP0.002,B1G5HX7,"128,343","789,208",0.00%
LUCECO PLC LUCE,BZC0LP4,"1,385,982","3,599,729",0.00%
LUFTHANSA AG,5287488,"5,001","51,656",0.00%
LUKOIL 0AO-CLS,4560588,"28,806",0,0.00%
LUKOIL PJSC-SPON ADR LKOD,BYZDW27,645,0,0.00%
LULULEMON ATHLETICA INC COM STK USD0.01,B23FN39,"28,866","17,828,796",0.02%
LUNDBERGS AB-B SHS SER'B'NPV,4538002,"2,781","203,690",0.00%
LUNDIN MINING CORP COM NPV,2866857,"11,032","153,246",0.00%
LUXSHARE PRECISION INDUSTR-A,BD5CN80,"225,783","2,024,624",0.00%
LVMH MOET HENNESSY LOUIS VUITTON SE,4061412,"26,887","28,576,612",0.03%
LY CORPORATION,6084848,"23,161","99,827",0.00%
LYNAS RARE EARTHS LTD,6121176,"15,052,032","96,784,566",0.12%
LYONDELLBASELL INDU-CL A COM USD0.01 CLA,B3SPXZ3,"114,969","13,791,086",0.02%
M & T BANK CORP COM,2340168,"1,499","455,191",0.00%
M&C SAATCHI PLC ORD GBP0.01,B01F7T1,"3,987,576","13,712,136",0.02%
M&G PRUDENTIAL PLC MNG,BKFB1C6,"19,580","78,359",0.00%
M3 INC,B02K2M3,"5,721","82,130",0.00%
MA FINANCIAL GROUP LTD,BMYZBN4,"1,125,037","6,885,228",0.01%
MAAS GROUP HOLDINGS LTD,BLD4919,"1,439,008","6,892,847",0.01%
MACMAHON HOLDINGS LIMITED NPV,6551160,"50,801,460","17,526,504",0.02%
MACQUARIE GROUP LIMITED,B28YTC2,"1,961,181","434,695,761",0.53%
MACQUARIE TECHNOLOGY GROUP LTD,6175054,"36,026","3,181,432",0.00%
MACROTECH DEVELOPERS LTD,BM9G370,"633,707","16,609,745",0.02%
MAGELLAN FINANCIAL GROU-CW27,BQ3SBX2,620,65,0.00%
MAGELLAN FINANCIAL GROUP LTD NPV,B015YX4,"1,097,509","12,204,300",0.01%
MAGNA INTL INC CL A,2554475,"3,330","224,682",0.00%
MAGNETIC RESOURCES MAU,B1SDPL3,"2,047,884","2,262,912",0.00%
MAGNITOGORSK IRON & STEEL MAGN,B5B1RP0,"333,052",0,0.00%
MAGNOTEC LTD,B6S2SR2,"2,391,761","442,476",0.00%
MAHINDRA & MAHINDRA LTD,6100186,"388,802","22,055,817",0.03%
MAJOR CINEPLEX GROUP-FOREIGN THB1(ALIEN,TH0671010Z16,"3,322,448","2,313,618",0.00%
MAKEMYTRIP LTD USD0.0005,B552PC2,"39,437","7,151,732",0.01%
MAKITA CORP SHS,6555805,"25,275","1,257,951",0.00%
MALAYSIA AIRPORTS HLDGS BHD,6188193,"10,498,620","40,120,798",0.05%
MANAPPURAM FINANCE LTD,6570400,"394,028","1,400,782",0.00%
MANHATTAN ASSOCIATES INC COM STK USD0.01,2239471,667,"291,117",0.00%
MANULIFE FINANCIAL CORP COM,2492519,"16,654","825,918",0.00%
MARATHON PETROLEUM COM USD0.01,B3K3L40,"68,412","15,413,914",0.02%
MARKEL CORP COM NPV,2566436,90,"251,147",0.00%
MARKETAXESS HOLDINGS INC COM USD0.003,B03Q9D0,334,"121,832",0.00%
MARKS & SPENCER GRP PL SHS,3127489,"-18,786","-142,691",0.00%
MARRIOTT INTERNATIONAL -CL A,2210614,"2,445","1,101,461",0.00%
MARSH & MCLENNAN COS,2567741,"109,492","37,563,067",0.05%
MARTIN MARIETTA MATERIALS,2572079,543,"452,733",0.00%
MARUBENI CORP,6569464,"16,306","400,926",0.00%
MARUTI SUZUKI INDIA LTD,6633712,"450,849","92,351,504",0.11%
MARVELL TECHNOLOGY INC,BNKJSM5,"8,260","1,473,488",0.00%
MASCO CORP COM,2570200,"42,173","4,943,024",0.01%
MASTERCARD INC-CLASS A COM USD0.0001 CLA,B121557,"8,324","7,079,390",0.01%
MATCH GROUP INC,BK80XH9,"2,576","136,082",0.00%
MATSUKIYOCOCOKARA & CO,B249GC0,"2,360","55,910",0.00%
MAX HEALTHCARE INST LTD,INE027H01010 (ISIN),"869,079","18,495,793",0.02%
MBIA INC COM STK USD1,2547044,"457,995","4,778,563",0.01%
MBK PCL,TH0480B10Z01 (ISIN),"425,197","346,446",0.00%
MBK PCL-FOREIGN MBK/F,BFWRH57,"11,007,352","10,689,390",0.01%
MCCORMICK & CO INC COM NON VTG,2550161,"1,976","243,335",0.00%
MCDONALDS CORP COM,2550707,"7,063","3,306,851",0.00%
MCDONALD'S HOLDINGS CO JAPAN NPV,6371863,"2,230","141,828",0.00%
MCKESSON CORP COM,2378534,"1,270","1,168,906",0.00%
MCMILLAN SHAKESPEARE LTD NPV,B00G1Q0,"18,050","270,755",0.00%
MCX LTD,B7L5LS7,"32,885","3,867,436",0.00%
MD MEDICAL GROUP INVEST-REGS GDR(EACH RE,B8JZ5X9,"88,043",0,0.00%
MEDIATEK INC,6372480,"1,186,056","82,678,817",0.10%
MEDIBANK PRIVATE LTD,BRTNNQ5,"11,319,921","42,902,500",0.05%
MEDIOBANCA SPA EUR0.5,4574813,"1,111","26,143",0.00%
MEDTRONIC PLC,BTN1Y11,"247,689","31,955,750",0.04%
MEG ENERGY CORP COM NPV,B4XF9J1,"5,041","133,596",0.00%
MEGAPORT LIMITED,BZ5ZWZ3,"802,588","5,915,071",0.01%
MEIJI HOLDINGS CO LTD NPV,B60DQV3,"2,895","95,247",0.00%
MEITUAN-CLASS B,BGJW376,"4,764,749","150,287,532",0.18%
MELROSE INDUSTRIES PLC,GB00BNGDN821,"1,020,281","11,429,304",0.01%
MERCADOLIBRE INC COM STK USD0.001,B23X1H3,"57,315","157,410,696",0.19%
MERCEDES-BENZ GROUP AG,5529027,"8,964","806,567",0.00%
MERCK & CO INC COM,2778844,"25,021","4,020,217",0.00%
MERCK KGAA,4741844,"1,369","320,201",0.00%
MERCURY NZ LTD,B8W6K56,"10,993","58,191",0.00%
MERIDIAN ENER-PARTLY PAID SH MERIDIAN EN,BWFD052,"7,338","39,243",0.00%
MESOBLAST LTD NPV,B04SF48,"3,397","10,531",0.00%
META PLATFORMS INC-CLASS A,B7TL820,"87,485","82,731,830",0.10%
METALS ACQUISITION LTD-CDI,BS2KWR4,"667,605","11,489,490",0.01%
METCASH LTD NPV,B0744W4,"24,014,604","74,445,273",0.09%
METLIFE INC COM,2573209,"6,412","848,013",0.00%
METRO INC -A CLASS'A'SUB VTG NPV,2583952,"2,092","211,841",0.00%
METRO MINING LTD MMI,BTDBK35,"60,634,070","3,638,044",0.00%
METSO OUTOTEC OYJ,B1FN8X9,"3,298","49,537",0.00%
METTLER-TOLEDO INTERNATIONAL COM STK USD,2126249,"7,031","13,895,744",0.02%
MGM RESORTS INTERNATIONAL,2547419,"248,310","13,896,368",0.02%
MICHELIN (CGDE),BPBPJ01,"5,904","314,020",0.00%
MICHELMERSH BRICK HOLDINGS P MBH,B013H06,"3,264,393","6,570,111",0.01%
MICROCHIP TECHNOLOGY INC COM,2592174,"28,163","2,608,670",0.00%
MICRON TECHNOLOGY INC,2588184,"181,033","24,607,474",0.03%
MICROSOFT CORP,2588173,"428,468","291,689,192",0.36%
MICROSTRATEGY INC-CL A COM CL'A' USD0.00,2974329,"1,832","856,815",0.00%
MID-AMERICA APARTMENT COMM COM STK USD0.,2589132,"1,876","468,465",0.00%
MIDEA GROUP CO LTD-A,BD5CPP1,"1,226,297","20,293,113",0.02%
MIDLAND HLDGS HKD0.10,6597700,"4,260,872","744,175",0.00%
MILLICOM INTL CELLULAR-SDR SHS DEP RCT,B00L2M8,"161,048","6,384,338",0.01%
MINEBEA MITSUMI INC,6642406,"5,621","148,442",0.00%
MINERAL RESOURCES LTD NPV,B17ZL56,"2,066,941","70,792,713",0.09%
MINOR INTERNATIONAL PCL-FOR THB1(ALIEN M,B018BZ4,"5,722,440","7,048,080",0.01%
MINTH GROUP LTD,B0RJCG9,"1,930,066","6,067,662",0.01%
MIRVAC GROUP STAPLED SECURITIES,6161978,"38,180,280","71,588,026",0.09%
MITSUBISHI CHEMICAL GROUP CO,B0JQTJ0,"10,043","82,540",0.00%
MITSUBISHI CORP ORD,6596785,"289,338","7,742,976",0.01%
MITSUBISHI ELEC CORP,6597045,"16,923","467,307",0.00%
MITSUBISHI ESTATE CO LTD,6596729,"225,760","5,105,403",0.01%
MITSUBISHI HC CAPITAL INC,6268976,"3,243","34,731",0.00%
MITSUBISHI HEAVY INDS LTD,6597067,"27,745","633,855",0.00%
MITSUBISHI UFJ FINANCIAL GRO NPV,6335171,"107,117","2,032,127",0.00%
MITSUI & CO LTD ORD,6597302,"24,476","832,853",0.00%
MITSUI CHEMICALS INC,6597368,686,"24,475",0.00%
MITSUI FUDOSAN CO LTD,6597603,"26,383","344,339",0.00%
MITSUI O.S.K. LINES LTD,6597584,"2,684","151,944",0.00%
MIZRAHI TEFAHOT BANK LTD ILS0.01,6916703,"4,056","283,327",0.00%
MIZUHO FINANCIAL GROUP INC,6591014,"22,954","913,643",0.00%
MMC NORILSK NICKEL OJSC-RTS RUB1(RUB),7131431,"135,730",0,0.00%
MMC NORILSK NICKEL PJSC,B5B1TX2,"222,882",0,0.00%
MODERNA INC MRNA,BGSXTS3,"259,086","17,399,364",0.02%
