AKZO NOBEL NV,NL0013267909        ,51,4984,0.00%
ALBERMARLE CORP,US0126531013        ,67,9284,0.00%
ALBERTSONS COMPANIES INC,US0130911037        ,99,3143,0.00%
ALCOA CORPORATION CDI 1 1 FOREIGN EXEMPT DEFERRED SETTLEMENT,AU0000339426        ,3502,207765,0.01%
ALCON AG,CH0432492467        ,150,20616,0.00%
ALFA FINANCIAL SOFTWARE HOLDINGS ORDINARY SHARES,GB00BDHXPG30        ,82,356,0.00%
ALFA LAVAL AB,SE0000695876        ,124,8370,0.00%
ALIBABA GROUP HOLDING LTD,KYG017191142        ,35691,611485,0.02%
ALIBABA GROUP HOLDING LTD,US01609W1027        ,3251,445159,0.01%
ALIGN TECHNOLOGY INC,US0162551016        ,106,35662,0.00%
ALIMENTATION COUCHE TARD INC,CA01626P1484        ,228,20417,0.00%
ALIOR BANK SA,PLALIOR00045        ,300,10075,0.00%
ALLEGION PLC,IE00BFRT3W74        ,49,10259,0.00%
ALLIANZ SE-REG,DE0008404005        ,2313,1144540,0.03%
ALLIANZ SE UNSPONSORED ADR EA REP 1 10 ORD,US0188201000        ,213,10484,0.00%
ALLSTATE CORP,US0200021014        ,315,98026,0.00%
ALLY FINANCIAL INC,US02005N1000        ,117,6786,0.00%
ALNYLAM PHARMACEUTICALS INC,US02043Q1076        ,194,73605,0.00%
ALPHA GROUP INTERNATIONAL ORD SHS,GB00BF1TM596        ,19,903,0.00%
ALPHABET INC CLASS C EQUITY,US02079K1079        ,24641,7579183,0.20%
ALPHABET INC CLASS A EQUITY,US02079K3059        ,25024,7650937,0.20%
ALS LIMITED,AU000000ALQ6        ,18873,284612,0.01%
ALSTOM SA,FR0010220475        ,111,4018,0.00%
ALUMINUM CORPORATION OF CHINA LTD,CNE1000001T8        ,15993,14930,0.00%
AMADEUS IT HOLDINGS,ES0109067019        ,136,15468,0.00%
AMAZON COM INC,US0231351067        ,43787,15515471,0.41%
AMCOR PLC CDI,AU000000AMC4        ,50277,752641,0.02%
AMCOR PLC COM USD,JE00BJ1F3079        ,788,11973,0.00%
AMER SPORTS INC,KYG0260P1028        ,5203,234968,0.01%
AMERCO COM,US0235865062        ,28,2929,0.00%
AMERICAN EXPRESS USD,US0258161092        ,1603,768453,0.02%
AMERICAN FINANCIAL GROUP INC,US0259321042        ,22,4870,0.00%
AMERICAN INTERNATIONAL GROUP,US0268747849        ,333,39166,0.00%
AMERIPRISE FINANCIAL INC,US03076C1062        ,51,43950,0.00%
AMETEK INC,US0311001004        ,120,34811,0.00%
AMGEN INC,US0311621009        ,809,340445,0.01%
AMICUS THERAPEUTICS INC,US03152W1099        ,1437,21870,0.00%
AMOTIV LIMITED ORDINARY FULLY PAID,AU0000340770        ,3413,36173,0.00%
AMP LIMITED,AU000000AMP6        ,98095,155481,0.00%
AMPHENOL ORD SHS CLASS A,US0320951017        ,4049,454156,0.01%
AMPLIFON SPA,IT0004056880        ,35,1475,0.00%
AMUNDI SA,FR0004125920        ,18,1880,0.00%
ANA HOLDINGS INC,JP3429800000        ,36,1065,0.00%
ANALOG DEVICES INCORPORATED COM,US0326541051        ,4722,1620294,0.04%
ANGLO AMERICAN PLC,GB00B1XZS820        ,383,18291,0.00%
ANGLOGOLD ASHANTI ORD SHS,GB00BRXH2664        ,47,1747,0.00%
ANHEUSER BUSCH INBEV SA NV,BE0974293251        ,11851,956308,0.03%
ANHUI CONSTRUCTION ENGINEERING GROUP CORP LTD,CNE000001DV4        ,28567,30215,0.00%
ANSELL LIMITED,AU000000ANN9        ,4908,166003,0.00%
ANSYS INC,US03662Q1058        ,146,79406,0.00%
ANTA SPORTS PRODUCTS LTD,KYG040111059        ,12200,197476,0.01%
ANTOFAGASTA PLC,GB0000456144        ,13488,433797,0.01%
ANTON OILFIELD SERVICES GROUP,KYG039991024        ,84600,10554,0.00%
ANZ GROUP HOLDINGS LIMITED ORDINARY FULLY PAID,AU000000ANZ3        ,330169,9423038,0.25%
AO WORLD PLC,GB00BJTNFH41        ,240,502,0.00%
AON PLC IE COM CL A,IE00BLP1HW54        ,104,60283,0.00%
APA CORPORATION COM USD0.625,US03743Q1085        ,246,9157,0.00%
APAR INDUSTRY LTD ORD SHS,INE372A01015        ,124,24085,0.00%
APELLIS PHARMACEUTICALS INC,US03753U1060        ,566,29184,0.00%
APOGEE THERAPEUTICS INC,US03770N1019        ,232,16942,0.00%
APOLLO GLOBAL MANAGEMENT INC,US03769M1062        ,2060,549479,0.01%
APPEN LIMITED ORDINARY,AU000000APX3        ,3714,9805,0.00%
APPLE INC,US0378331005        ,59309,23988011,0.63%
APPLIED MATERIALS US,US0382221051        ,3519,924422,0.02%
APPLOVIN CORP,US03831W1080        ,676,353657,0.01%
APTIV PLC NEW ORD USD0.01,JE00BTDN8H13        ,176,17189,0.00%
ARAMIS GROUP SAS,FR0014003U94        ,607,8249,0.00%
ARB CORPORATION LIMITED ORDINARY FULLY PAID,AU000000ARB5        ,5401,219348,0.01%
ARC RESOURCES COM NPV,CA00208D4084        ,178,5203,0.00%
ARCADIUM LITHIUM CDI DEFEERED,AU0000305724        ,48200,395239,0.01%
ARCELLX INC,US03940C1009        ,348,43118,0.00%
ARCELORMITTAL NPV POST STK SPLIT,LU1598757687        ,141,5297,0.00%
ARCH CAPITAL GROUPCOM,BMG0450A1053        ,196,29289,0.00%
ARCHER DANIELS MIDLAND CO COM STK NPV,US0394831020        ,255,20840,0.00%
ARCPLUS GROUP PLCA,CNE000000784        ,11627,23720,0.00%
ARCUTIS BIOTHERAPEUTICS INC COM,US03969K1088        ,6558,147552,0.00%
ARDELYX INC,US0396971071        ,4367,35758,0.00%
ARES MANAGEMNT COR COM,US03990B1017        ,1849,528768,0.01%
ARGENX NV,US04016X1019        ,181,179946,0.00%
ARGENX SE,NL0010832176        ,137,137741,0.00%
ARISTA NETWORKS INC,US0404132054        ,5060,903252,0.02%
ARISTOCRAT LEISURE LTD,AU000000ALL7        ,89950,6148983,0.16%
ARKEMA,FR0010313833        ,17,2105,0.00%
ARTHUR J GALLAGHER CO,US3635761097        ,122,56076,0.00%
ARYT INDUSTRIES ORD SHS,IL0005870147        ,1493,5989,0.00%
ASAHI GROUP HOLDINGS LTD,JP3116000005        ,436,7419,0.00%
ASAHI KASEI CORPORATION,JP3111200006        ,357,4009,0.00%
ASANA INC,US04342Y1047        ,1693,55421,0.00%
ASCENDIS PHARMA AS,US04351P1012        ,469,104360,0.00%
ASHMORE GROUP PLC,GB00B132NW22        ,224,724,0.00%
ASHOT ASHKELON INDUSTRIES ORD SHS,IL0003120172        ,267,6047,0.00%
ASHTEAD GROUP PLC,GB0000536739        ,132,13221,0.00%
ASICS ORD SHS,JP3118000003        ,30813,984814,0.03%
ASM INTERNATIONAL NV,NL0000334118        ,20,18711,0.00%
ASML HOLDING NV,NL0010273215        ,2406,2731514,0.07%
ASML HOLDING NV EUR 0.09 NY REG 2012 POST DEPOSITORY RECEIPT,USN070592100        ,570,638078,0.02%
ASMPT LTD,KYG0535Q1331        ,12562,195624,0.01%
ASPEN TECHNOLOGY,US29109X1063        ,8,3171,0.00%
ASR NEDERLAND NV,NL0011872643        ,328,25086,0.00%
ASSA ABLOY AB,SE0007100581        ,302,14413,0.00%
ASSOCIATED BRITISH FOODS PLC,GB0006731235        ,101,4153,0.00%
ASSURANT INC,US04621X1081        ,29,10047,0.00%
ASTELLAS PHARMA NPV,JP3942400007        ,544,8582,0.00%
ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,GB00BN7CG237        ,165,357,0.00%
ASTRAL POLY TECHNIK LTD,INE006I01046        ,1312,40879,0.00%
ASTRAZENECA PLC,GB0009895292        ,14193,3005222,0.08%
ASUSTEK COMPUTER INC,TW0002357001        ,87,2638,0.00%
ASX LIMITED,AU000000ASX7        ,66604,4334608,0.11%
ATLAS COPCO AB,SE0017486889        ,809,19957,0.00%
ATLAS COPCO AB SER`B`NPV (POST SPLIT),SE0017486897        ,470,10265,0.00%
ATLASSIAN CL A ORD,US0494681010        ,2134,838662,0.02%
ATRAE ORD SHS,JP3121890002        ,3706,30085,0.00%
AUCTION TECHNOLOGY ORD,GB00BMVQDZ64        ,59,660,0.00%
AUDIOCODES LTD,IL0010829658        ,270,4327,0.00%
AURINIA PHARMACEUTICALS ORD SHS,CA05156V1022        ,1142,16560,0.00%
AURIZON HOLDINGS LIMITED,AU000000AZJ1        ,27978,90928,0.00%
AUROBINDO PHARMA LTD,INE406A01037        ,5359,134919,0.00%
AUSTAL LIMITED,AU000000ASB3        ,7730,23962,0.00%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AU0000261414        ,88109,9074246,0.24%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AU0000261422        ,30107,3138688,0.08%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AU0000267783        ,75,7793,0.00%
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED CAP NOTE,AU0000321788        ,111,11567,0.00%
AUTO TRADER GROUP PLC,GB00BVYVFW23        ,2381,38194,0.00%
AUTODESK INC,US0527691069        ,408,194575,0.01%
AUTOHOME INC,US05278C1071        ,297,12464,0.00%
AUTOMATIC DATA PROC.,US0530151036        ,207,97958,0.00%
AUTOZONE INC,US0533321024        ,8,41623,0.00%
AVADEL PHARMACEUTICALS ORD SHS,IE00BDGMC594        ,5754,97670,0.00%
AVANTOR INC,US05352A1007        ,204,6958,0.00%
AVENUE SUPERMARTS LTD,INE192R01011        ,956,64223,0.00%
AVERY DENNISON CO US,US0536111091        ,43,12988,0.00%
AVIDITY BIOSCIENCES INC,US05370A1088        ,1233,57890,0.00%
AVITA MEDICAL INC,AU000000AVH4        ,2829,12021,0.00%
AVIVA ORD,GB00BPQY8M80        ,1149,10898,0.00%
AVON RUBBER PLC,GB0000667013        ,59,1764,0.00%
AXA,FR0000120628        ,758,43511,0.00%
AXIS BANK INR2,INE238A01034        ,27521,552782,0.01%
AXON ENTERPRISE I COM USD 0.00001,US05464C1018        ,37,35926,0.00%
B AND M EUROPEAN VALUE RETAIL SA,LU1072616219        ,496,3679,0.00%
B3 SA BRASIL BOLSA BALCAO,BRB3SAACNOR6        ,730,1970,0.00%
BACHEM HOLDING AG CHF0.01 REGD SUBD,CH1176493729        ,8,774,0.00%
BAE SYSTEMS PLC,GB0002634946        ,910,21134,0.00%
BAJAJ AUTO,INE917I01010        ,271,44939,0.00%
BAJAJ FINANCE LTD INR2,INE296A01024        ,969,124773,0.00%
